date,PG,KO,PEP,WMT,PM,MO,COST,MDLZ,CL,WBA,KMB,SYY,STZ,KHC,EL,ADM,GIS,KR,MNST,CLX,TSN,K,MKC,HSY,CAG,CHD,BF.B,SJM,TAP,HRL,CPB,COTY
2013-09-16,68.3091,33.0984,70.0822,65.3093,70.4316,28.5366,103.2703,29.1949,53.7251,50.9315,82.3703,28.6801,56.6826,,66.8032,32.3792,41.8513,18.4005,18.5833,73.5942,28.599,52.5723,62.2322,82.3024,21.9967,27.8409,26.7692,95.683,45.3141,19.6379,37.0663,14.6439
2013-09-17,68.0279,33.0388,70.6358,65.6324,70.7282,28.7234,103.7631,29.3049,53.5281,51.0617,82.3105,28.8191,57.1934,,67.0098,32.7405,41.8934,18.8039,19.01,73.568,28.5707,52.2792,62.1959,83.0747,21.8322,28.4544,26.8449,96.0199,45.7472,19.6971,36.6643,14.0942
2013-09-18,68.4241,33.7202,71.691,66.7416,72.1152,29.0727,104.4073,29.9921,54.7723,51.7218,83.4637,29.0103,57.5018,,67.799,32.6964,42.2048,18.8085,19.3446,73.5419,28.7217,52.7706,62.9571,83.6429,21.983,28.7173,27.284,96.1795,46.5232,20.098,37.2235,14.0221
2013-09-19,68.275,33.4817,70.7742,66.5582,72.5882,29.0808,104.8984,30.1846,54.5754,52.0565,83.028,28.5237,56.5477,,68.0432,32.6524,41.0939,19.0079,18.7233,73.2457,28.7123,52.6585,62.7034,83.2612,21.1125,28.8142,27.0569,95.4702,46.46,20.0205,36.874,14.1843
2013-09-20,67.6529,33.5583,70.705,66.2263,72.5321,28.8777,103.7895,29.5981,54.101,51.6195,82.1739,28.2978,55.1601,,67.4044,32.811,40.9509,18.9013,18.6333,71.9564,28.6179,52.2188,62.4406,83.0925,21.2496,28.4775,26.6708,94.9915,45.5938,19.9522,36.5245,14.2835
2013-09-23,67.5592,32.9025,70.0822,66.7416,71.9548,28.634,103.4639,29.2728,53.8862,52.2796,81.8236,28.0719,55.3817,,66.4744,32.2735,40.934,18.7715,18.2866,72.1568,28.1931,51.9343,62.2684,82.7019,21.0919,28.4959,26.6632,94.4772,45.3773,19.7973,36.4896,14.1753
2013-09-24,66.9967,32.8173,69.667,66.1564,70.8206,28.496,102.3815,29.3736,53.5908,51.4986,81.4649,28.1501,55.3142,,67.1789,32.3969,41.1108,18.943,18.2466,72.8276,27.7212,51.6929,62.1325,82.4089,21.0508,28.662,26.2695,94.3265,45.296,19.6515,36.2624,14.0942
2013-09-25,66.2298,32.647,69.3815,65.1957,70.4155,28.2604,101.5631,29.4148,53.1164,50.9966,80.884,27.8113,55.3817,,66.8313,32.3088,40.7152,18.8596,18.1133,71.5818,27.0605,51.624,61.6613,81.8319,20.8726,28.1361,26.0386,93.8566,45.5036,19.4238,36.0701,13.9771
2013-09-26,66.511,32.9962,69.667,65.1695,71.0474,28.431,102.4343,29.424,54.0563,50.885,81.5417,27.9069,55.4588,,66.4556,32.4321,40.833,18.994,17.8566,72.1132,26.9378,51.5981,60.3112,82.6575,20.8931,28.1361,26.1598,93.7059,45.7382,19.442,36.1488,14.0762
2013-09-27,65.7952,32.7066,69.3729,64.9425,70.7558,28.1954,101.8359,29.2676,53.6445,50.6805,80.9694,27.8287,54.9095,,66.1549,32.7052,40.4628,18.8688,17.69,71.6167,26.9944,50.8825,59.2601,82.5598,20.7492,27.9839,26.0311,92.9079,45.4765,19.2643,35.7905,14.4006
2013-09-30,64.4147,32.2637,68.7674,64.5931,70.1562,27.903,101.3519,28.9187,53.0806,50.0203,80.4825,27.6549,55.3142,,65.6664,32.4585,40.3281,18.7065,17.4166,71.1898,26.6924,50.6325,58.6258,82.116,20.7971,27.6979,25.7888,93.1296,45.2329,19.1869,35.5721,14.6079
2013-10-01,64.9004,32.3233,69.0442,64.27,70.7882,28.1954,101.2023,28.3932,53.7877,52.2889,80.6192,27.707,55.7864,,66.2301,32.4674,40.3786,18.8503,17.5333,71.5557,26.9,50.6498,58.7889,82.187,20.9137,27.9655,26.1635,93.4576,45.9638,19.319,36.009,14.4457
2013-10-02,64.7044,31.8804,68.8193,64.3835,71.0717,28.2279,101.0439,28.2091,53.1969,52.5585,80.5167,27.7596,56.143,,66.1455,32.7581,40.4038,18.8178,17.4066,72.0261,26.7679,50.7705,59.0171,81.6899,20.9891,27.9147,25.8721,93.0498,45.287,19.2279,35.7905,14.4727
2013-10-03,64.6277,31.6505,68.7155,63.8944,70.8854,28.1873,100.6919,28.1079,53.009,52.0286,80.6705,27.6632,57.9643,,65.2343,32.3792,40.084,18.5906,17.25,72.0348,26.6452,50.7705,58.3612,80.8199,20.8383,27.6933,25.645,93.0675,44.881,19.0138,35.7119,14.4367
2013-10-04,64.7811,31.6845,68.8712,63.58,70.5208,28.1467,100.7095,28.4024,53.1074,51.8705,80.5167,27.8035,59.7182,,65.7416,32.3352,40.3533,18.8085,17.29,71.0592,27.221,51.1756,58.8987,81.4679,20.8177,27.6564,26.0235,93.9187,45.5397,19.1459,35.6784,14.4186
2013-10-07,64.4658,31.5568,68.3868,62.7678,70.1481,28.2279,99.8031,28.3104,53.0,51.3127,80.175,27.7246,58.8894,,65.0934,32.0885,40.387,18.5025,17.2166,71.1027,27.1171,51.3136,59.1082,81.2904,20.7971,27.5227,25.9629,93.7857,45.0163,19.032,35.4319,14.4186
