date,XOM,CVX,SLB,COP,EOG,OXY,VLO,PSX,MPC,WMB,KMI,APC,HAL,PXD,OKE,CXO,ANDV,DVN,MRO,NOV,HES,APA,NBL,BHGE,HFC,FTI,EQT,COG,XEC,HP,NFX
2013-09-12,73.4742,101.5945,76.6536,58.7432,81.1712,74.6418,29.9483,48.9962,29.4416,26.9204,29.2809,91.1136,45.5303,186.2223,39.5759,103.78,40.2676,55.2386,32.6194,70.9052,71.1373,79.7756,62.5449,,33.3121,54.191,86.4327,37.1579,88.9821,54.1204,25.76
2013-09-13,73.8249,101.7995,76.7776,59.0934,80.4223,73.3952,30.2504,49.5864,29.8639,27.3931,28.8452,90.322,45.9838,184.2486,39.4602,103.13,41.4266,54.7603,32.2477,71.169,71.5701,79.4188,62.3294,,33.4954,53.4444,87.3246,36.65,88.6691,56.0963,25.6
2013-09-16,74.0504,101.7503,77.0255,59.2215,80.113,73.551,29.8275,49.326,29.4504,27.0958,28.5491,89.0439,46.1041,184.418,39.7535,103.06,40.8695,54.4977,32.148,71.6147,71.7543,79.5926,61.7484,,33.3839,54.584,88.1669,36.7281,88.493,56.0313,25.79
2013-09-17,74.2759,101.9635,77.6806,59.529,81.0649,74.6172,29.862,48.649,29.1248,26.8366,28.5491,89.3396,45.9653,184.0193,40.2938,104.01,40.9504,55.2011,32.5741,71.7694,71.6345,80.7362,61.9358,,33.113,55.2324,89.1877,37.324,89.119,56.1126,26.05
2013-09-18,74.8104,103.1772,78.7519,60.2635,83.0073,75.708,30.2936,49.6905,29.1468,27.3931,29.8154,90.57,46.0393,186.9799,41.7913,105.88,40.8606,56.1014,33.0002,72.3242,72.9514,81.3583,63.5006,,32.9855,56.4801,91.4173,37.4901,89.5005,56.6248,26.67
2013-09-19,74.5598,102.8656,78.6103,60.5026,82.4951,75.544,29.9742,50.4717,28.7729,28.0869,30.243,90.4174,45.845,185.2255,41.6292,105.42,40.9504,55.9701,33.0183,72.6153,73.3381,80.9374,63.1914,,32.7704,56.1461,91.7245,37.1872,89.6277,57.5843,26.49
2013-09-20,74.0421,102.4391,77.415,60.6393,81.5964,75.0929,29.7239,50.2807,28.377,27.9268,29.7743,89.3587,45.6599,182.1651,41.004,103.99,39.8992,55.8388,32.5469,71.6875,72.4081,80.3702,63.0508,,33.0014,55.3798,90.4264,36.8356,89.4125,57.1777,26.83
2013-09-23,73.2821,102.9312,77.0609,60.2806,81.5916,74.9371,29.4391,49.8294,27.7084,27.8353,29.6345,89.7593,44.7807,182.225,41.3359,105.14,39.9711,55.8763,32.2296,71.4055,72.316,79.9311,62.7885,,32.9297,54.5447,90.4759,36.3863,91.2318,56.4378,27.05
2013-09-24,72.9564,102.0865,77.8312,60.1268,83.1523,76.1099,29.6117,50.1419,28.2891,27.9039,29.7579,90.3315,45.1139,183.9695,41.1661,106.69,40.5102,56.017,32.2477,71.5692,72.2976,79.5926,62.9103,,33.6149,54.2009,89.5444,35.8783,91.8285,55.9418,27.74
2013-09-25,72.7727,101.7421,78.4155,60.0585,82.8092,76.2001,30.1037,50.3849,28.3594,27.6219,29.577,90.446,45.2342,185.5445,41.1584,107.5,40.8516,55.8013,32.148,71.9513,72.4909,79.2541,62.7979,,34.4276,54.4268,88.9895,34.7452,93.149,56.137,28.02
2013-09-26,72.7142,101.2665,78.6457,59.9816,83.1523,76.7496,29.6117,50.7581,28.2143,27.6981,29.5852,90.1122,45.0769,187.6782,41.3359,109.29,40.0071,55.7732,31.9848,71.9695,72.5554,79.126,63.079,,33.9416,54.3188,90.5849,36.2593,93.6968,56.4866,27.6
2013-09-27,72.5722,100.5694,78.6368,60.05,82.4951,77.4713,29.6031,50.8015,28.5662,27.6295,29.4701,90.1599,44.7807,188.2266,40.9422,107.93,40.1957,55.0604,31.6403,70.9598,72.1318,78.9065,62.7885,,34.0053,54.358,89.5543,36.2495,94.1956,56.1613,27.38
2013-09-30,71.854,99.6346,78.2296,59.3667,81.7945,76.7168,29.4737,50.1853,28.2935,27.721,29.2481,88.691,44.5587,188.2466,41.1584,108.81,39.5129,54.1695,31.6221,71.0508,71.2201,77.891,62.7885,,33.5512,54.4465,87.9192,36.4546,94.2934,56.0638,27.37
2013-10-01,71.8206,99.487,78.8405,59.8194,83.1813,77.4139,29.2061,50.2547,28.2803,28.0183,29.6839,89.1202,44.9751,193.89,41.3513,113.65,38.7223,54.9573,31.7672,71.6784,72.4633,79.1077,63.7067,,33.3281,55.2226,88.0679,36.2397,96.7975,57.6656,27.9
