date,BRK.B,JPM,BAC,WFC,C,USB,GS,AXP,PNC,MS,CB,SCHW,CME,BLK,BK,SPGI,AIG,COF,MET,ICE,MMC,PRU,BBT,PGR,AON,AFL,TRV,ALL,STI,STT,MCO,TROW,DFS,MTB,SYF,NTRS,KEY,RF,AMP,FITB,CFG,WLTW,HBAN,HIG,CMA,SIVB,MSCI,PFG,XL,ETFC,LNC,AJG,L,RJF,CBOE,CINF,NDAQ,ZION,IVZ,BEN,TMK,RE,UNM,AMG,JEF,PBCT,AIZ,BHF
2013-09-12,113.38,45.9672,13.5836,36.6835,48.1624,32.8113,152.7597,69.9395,65.2632,25.6948,81.2529,21.1442,58.4145,232.4973,28.3904,58.3908,45.5156,61.845,37.7023,35.0286,38.2999,68.7533,29.4273,22.657,64.611,27.077,74.1527,45.6845,29.814,61.8828,63.2601,61.7503,46.2379,100.2239,,50.2018,10.5968,8.5181,80.1267,16.3509,,,7.573,28.736,37.3033,83.86,37.7006,37.3563,27.5248,17.0,40.6696,38.0706,44.239,40.7504,42.7793,39.2985,28.8343,27.5863,26.3025,40.5376,46.093,123.854,28.0381,181.5176,25.9581,11.7464,49.5048,
2013-09-13,113.54,46.2752,13.5929,36.6227,48.3828,33.0516,153.3676,69.9488,65.3881,25.7957,81.8062,21.1059,58.1173,234.5984,28.4544,58.1178,45.9035,61.4263,37.358,35.1318,38.2638,68.5297,29.549,22.6395,64.7149,27.1526,74.5452,45.6298,29.8947,62.1109,63.157,61.7071,46.3561,100.4213,,50.0238,10.5968,8.554,80.4901,16.2537,,,7.5819,28.818,37.4512,83.642,37.7101,37.0553,27.7064,17.11,40.8074,37.6566,44.4409,40.7129,42.8257,39.5192,28.7974,27.6244,26.3109,40.832,46.1058,124.6701,28.011,182.5868,26.2503,11.7464,49.6036,
2013-09-16,114.84,46.7591,13.6305,37.2304,48.8715,33.3809,156.2012,70.2274,66.2273,26.3459,82.4576,21.1538,57.6193,241.7171,28.7196,59.3133,45.8943,61.5719,37.7559,35.2369,38.5345,69.5789,29.9573,22.9015,65.2721,27.5218,75.4462,46.0399,30.155,62.8229,64.6938,62.6126,47.1745,100.7443,,50.471,10.6676,8.6169,82.0503,16.3509,,,7.5997,29.0549,37.747,84.25,38.081,37.7003,27.9516,17.07,41.0094,37.9671,45.1811,41.0693,41.9443,40.0588,28.9541,27.9102,26.7768,42.2113,46.5722,127.0286,28.2731,183.5173,26.6745,11.8195,50.3224,
2013-09-17,115.39,46.7151,13.6492,37.1956,49.0632,33.3898,156.5659,71.4536,66.745,26.6027,82.8146,21.6903,57.796,242.0096,28.7654,60.7064,46.6055,62.9098,38.1614,35.34,38.5616,70.198,30.4613,22.98,66.1221,27.6775,75.7139,46.6598,30.4781,63.0693,65.9401,62.7678,47.8201,101.8657,,50.754,10.7296,8.6618,82.7328,16.404,,,7.7065,29.4377,38.0428,86.21,38.6419,37.7519,28.0788,17.48,41.2666,38.2,45.4694,41.3507,42.0278,40.0416,29.0554,28.0437,26.8277,42.5056,46.5083,126.8851,28.3906,184.5667,26.4388,11.8925,50.4481,
2013-09-18,116.7,46.9967,13.804,37.5949,50.031,33.6746,157.1644,72.1225,66.4147,26.6118,84.1978,20.464,56.9365,247.701,28.7013,60.9512,46.7071,63.0555,37.205,35.3634,39.5134,69.0027,30.5829,23.3293,69.8433,27.9666,76.6417,47.234,30.6666,63.0054,66.8209,62.7764,48.0292,101.8029,,51.119,10.6853,8.6349,83.2913,16.4659,,,7.6175,29.1187,37.4327,84.618,38.9938,37.8121,28.6327,16.98,40.2471,38.5105,45.5848,41.6602,42.1948,40.4271,29.2766,27.3957,27.5731,44.297,46.1569,126.4636,28.2822,186.3288,26.0995,11.8195,50.1427,
2013-09-19,117.17,46.416,13.7055,37.2911,49.7819,33.5589,156.9025,72.0574,66.1023,26.2267,85.0902,20.1574,59.3303,251.451,28.4269,61.5819,46.0513,62.837,36.0192,35.6066,39.8157,67.6698,30.4613,23.5738,70.9673,27.6508,77.5249,47.9632,29.7422,62.6403,66.9896,64.3717,47.8928,101.0224,,51.1281,10.2692,8.2755,82.8126,16.3863,,,7.4138,28.3805,36.6838,81.29,38.7751,37.1499,28.5056,16.86,38.7684,38.2086,45.7578,41.2663,42.3989,40.5812,29.5024,26.6429,27.6409,44.0699,45.8822,126.4278,27.4958,185.319,26.0241,11.6045,49.4149,
2013-09-20,117.9,46.46,13.546,37.1956,49.0727,33.6835,158.7448,71.8252,66.1023,25.8507,84.769,20.3778,59.8845,246.717,28.2166,61.8266,46.1344,62.8916,36.3329,35.4432,39.9059,67.2828,30.4526,23.5563,71.3262,27.722,76.7755,47.3981,29.5627,61.7367,66.1556,63.7767,47.3927,100.0624,,50.7813,10.2427,8.3474,81.7489,16.2634,,,7.4574,28.2711,36.7301,82.86,38.3377,37.1843,28.551,16.71,38.8051,38.3208,45.604,40.7598,42.0464,40.6326,29.5623,26.6524,27.6409,43.4728,45.9589,128.1944,27.3512,184.5865,25.7036,11.6085,48.3458,
2013-09-23,115.64,45.2809,13.2646,36.7269,47.5012,33.2474,154.5366,71.0077,65.1293,24.9612,84.18,19.9658,59.1295,243.756,27.7135,61.7325,45.4048,62.3,36.2334,35.2505,40.0503,67.0592,29.7054,23.5563,71.3356,27.5841,77.061,47.5439,29.2127,60.7784,66.2399,63.0955,46.3834,99.3447,,50.3889,10.0656,8.1497,80.9777,16.0503,,,7.3239,28.1709,36.4342,81.79,38.2616,36.935,28.3603,16.47,38.4653,37.9154,45.2772,40.0095,41.8794,40.2729,29.5438,26.3189,27.5138,42.7327,45.9908,128.8401,27.4144,182.3987,25.4868,11.5517,48.5075,
2013-09-24,115.05,44.2777,13.2177,36.2234,46.9166,32.838,152.4044,70.664,64.915,25.007,84.4745,20.2532,58.6636,241.5752,27.6129,62.1561,45.4786,62.3364,36.0421,35.1629,39.9149,66.9044,29.4273,23.6261,71.7984,27.5885,76.606,47.1702,29.1498,60.6871,66.0712,62.854,46.1925,99.1294,,50.2794,10.1099,8.2575,80.6674,15.9486,,,7.3506,28.6357,36.462,83.16,38.2711,37.0467,28.0243,16.66,38.5939,38.2086,45.3349,39.7657,41.8887,40.2643,29.6544,26.3094,27.2766,42.6402,46.0802,128.876,27.55,182.4482,25.5245,11.6207,49.0466,
2013-09-25,115.51,45.492,13.2646,36.2929,47.2041,32.7135,151.7872,70.5897,65.2096,24.9612,85.0188,20.349,59.8926,239.5717,27.9147,61.6384,45.7557,62.9736,36.6083,34.8652,39.7345,67.7729,29.5229,23.8095,71.3073,27.6731,76.7041,47.0426,29.2845,60.9061,65.8182,62.7764,46.2197,99.6318,,50.6718,10.1364,8.3114,80.8092,16.175,,,7.4387,28.9182,36.6006,84.43,38.3472,37.2187,28.0788,16.79,38.9245,38.1914,45.3349,39.7844,41.7681,40.3757,29.5346,26.3094,27.158,42.4215,46.4124,130.3108,27.8393,181.577,25.713,11.6734,49.2173,
2013-09-26,115.79,45.6592,13.2083,36.1193,46.8879,32.7224,151.7685,70.8963,64.6651,24.897,84.9381,20.4352,60.495,241.7348,27.9788,62.1279,45.6726,62.9098,36.4017,35.0131,39.6713,67.7643,29.4882,23.8793,71.2317,27.8065,76.5703,46.8056,29.2934,61.1252,66.3055,62.5781,46.8017,100.52,,50.4619,10.0391,8.2485,81.1904,16.094,,,7.3595,28.7451,36.3048,84.72,38.6705,37.3993,28.1151,16.8,39.1266,38.1138,45.5079,39.7375,42.1577,40.4699,30.0138,25.9759,27.302,42.944,46.6233,130.4902,27.9748,182.963,25.7979,11.6734,49.37,
2013-09-27,114.85,45.9672,13.0395,36.1019,46.8496,32.6866,149.4867,70.4968,64.8347,24.8328,84.624,20.3011,60.1095,240.2011,27.6586,62.0525,45.3955,62.7278,36.1186,35.2777,39.4819,67.429,29.5142,23.8532,70.9011,27.6731,76.1956,46.5504,29.2575,60.667,65.9213,62.4746,46.638,100.5559,,49.9964,10.0568,8.3563,81.0486,16.094,,,7.3239,28.499,36.2308,85.91,38.2521,37.1413,28.1514,16.76,38.7133,37.8895,45.133,39.4835,42.0835,40.6498,29.6728,26.0426,27.1834,42.826,46.5338,130.4364,27.6766,182.0918,25.7319,11.5842,48.786,
