date,BA,MMM,HON,UNP,GE,UTX,UPS,CAT,LMT,CSX,FDX,RTN,GD,NOC,NSC,EMR,DE,ITW,ETN,WM,DAL,JCI,LUV,ROP,FTV,IR,PCAR,PH,ROK,COL,CMI,SWK,UAL,INFO,HRS,CTAS,VRSK,GWW,AME,TXT,TDG,FAST,RSG,LLL,EFX,AAL,XYL,CHRW,EXPD,DOV,CPRT,URI,KSU,MAS,HII,JBHT,SNA,RHI,ARNC,JEC,NLSN,AOS,ALLE,ALK,FBHS,FLR,PNR,FLS,SRCL,PWR
2013-09-19,104.7979,107.4062,78.3353,72.0681,20.6927,99.6573,79.2838,75.0795,113.0169,24.197,112.5972,72.2208,81.1028,89.8832,69.4785,56.7433,75.2418,68.6645,60.1943,36.905,21.7408,33.4058,13.9502,130.52,,59.497,50.1475,98.3934,97.8202,69.3248,118.1062,82.7454,33.79,,51.9736,47.2913,66.39,246.9435,44.532,28.7381,104.5413,44.6703,29.9855,87.1383,58.4772,18.2231,25.6618,54.8598,41.7949,66.8922,17.005,57.79,105.1853,18.3181,65.0835,70.741,92.9316,35.6311,17.9999,58.6738,31.9011,21.3311,,28.996,39.7741,66.2216,59.1918,58.4622,117.11,27.75
2013-09-20,102.6763,106.028,77.1529,71.4768,20.312,97.504,79.1542,72.5127,110.9453,23.8985,112.5972,70.7082,79.7458,88.279,69.0786,55.3951,74.11,68.8084,60.0072,36.7478,21.6018,32.7671,13.8254,129.9189,,59.5788,49.8019,97.8294,96.2695,65.3303,117.5124,81.5064,33.5,,52.126,47.6351,65.8,243.9099,44.5127,28.2129,102.5664,43.9518,30.1,86.3673,57.6989,18.1463,25.3446,55.2783,41.6842,65.5827,16.875,56.52,104.4168,18.1204,63.8589,71.3045,92.8027,35.3108,17.68,58.0157,30.7771,21.1752,,28.7828,38.8777,66.7406,59.5446,58.2682,116.4,27.37
2013-09-23,103.451,106.9998,75.9344,71.3289,20.5404,97.3616,78.9294,72.7523,110.6159,23.6995,110.7468,70.4308,79.5287,87.8756,69.4252,55.4293,74.278,68.5745,59.0889,36.5383,21.6203,32.4009,13.8446,129.4535,,58.933,49.5168,96.7468,95.8482,64.0984,116.6741,80.5479,33.18,,51.9646,47.4585,65.37,242.0138,44.5417,27.9552,99.0716,43.6276,30.0031,85.7233,57.2581,18.1175,25.1861,54.8777,41.46,65.7708,17.17,56.54,103.4516,17.7578,63.6988,70.6287,92.1033,35.0271,17.6587,57.2396,31.2147,21.1186,,29.0979,38.4719,65.7304,58.5043,57.7785,115.57,27.24
2013-09-24,104.7627,106.7259,76.0427,71.3379,20.5742,97.8777,78.9034,72.8207,111.0666,23.5909,110.5637,70.4487,79.5468,87.9581,69.5763,55.4293,74.4991,70.1668,59.8882,36.3986,22.0282,32.3445,14.1037,130.2194,,59.8608,49.0417,98.8937,96.0902,64.7797,116.9535,81.0181,33.89,,52.0095,47.4493,65.52,242.2034,44.7256,28.0246,100.2316,43.7502,30.0648,86.6394,56.5455,18.2424,25.5219,54.94,41.5809,65.7564,17.045,56.61,104.1451,17.9803,63.5575,69.7531,92.4162,35.384,17.7013,57.1905,31.3777,21.2461,,29.5335,38.5946,66.1104,58.8752,58.0095,113.99,27.66
2013-09-25,104.3313,106.1958,75.6727,70.5405,20.4981,97.2193,78.6786,72.2988,110.824,23.4643,109.4553,70.4576,79.3749,87.7564,69.203,55.3439,74.8351,69.4831,59.8626,36.1192,22.0746,32.7859,13.9981,129.628,,59.9427,48.7307,99.2849,96.2246,64.3877,116.7527,81.1809,34.13,,53.3003,47.1519,65.07,241.2103,44.6772,27.6381,99.6076,43.4611,29.9063,87.0113,55.9641,18.4249,25.6805,54.2812,41.0972,65.2644,15.53,56.79,102.9268,17.7001,63.4727,68.3446,91.6432,35.7044,17.7653,57.2495,31.3691,21.1705,,29.3898,38.5851,66.6387,59.2552,57.5095,114.6,27.99
2013-09-26,105.0972,106.6022,75.8622,70.76,20.515,97.5752,79.3703,72.0421,112.5488,23.5005,109.4457,71.4243,79.8363,88.3431,69.5941,55.8218,73.9011,69.8992,59.9562,36.3986,22.26,33.0771,14.1037,130.9079,,59.688,48.7566,99.9945,96.9417,64.3317,117.1806,81.8501,34.07,,53.0403,47.282,65.25,242.9167,44.7159,27.6877,100.7456,43.6976,30.0119,86.9932,56.0203,18.7035,26.3334,54.2366,41.2274,65.1197,15.495,57.64,103.4516,17.6177,63.501,68.4302,92.1677,35.7501,17.6374,57.2298,31.3348,21.2744,,29.7512,38.5946,66.7591,59.6351,57.9262,115.65,28.21
2013-09-27,104.5338,106.2135,75.438,70.1507,20.3458,97.3082,78.8948,71.6999,112.0201,23.3829,109.6481,70.4755,79.8725,88.2331,69.1408,55.3781,73.2695,69.4017,59.2589,36.1367,21.8521,32.8235,14.0461,129.3759,,59.5061,48.2038,99.112,96.0723,64.0144,116.613,81.9224,30.91,,53.0941,47.5979,65.34,238.285,44.1643,27.648,101.8101,43.8116,29.9498,86.5578,56.086,18.3288,26.1096,53.8182,41.06,64.6495,15.495,57.67,103.1892,17.4035,63.5104,68.849,91.772,35.6677,17.4881,56.7681,31.1632,21.1989,,29.464,39.2551,65.8509,59.2732,57.5558,115.67,27.64
2013-09-30,103.4422,105.4979,74.9506,69.5907,20.2105,95.938,78.9985,71.3576,110.5553,23.2834,109.9758,69.466,79.1759,87.3256,68.7497,55.2074,72.3978,68.9857,58.5361,36.0057,21.8706,32.8517,13.9693,128.8329,,59.0694,48.0828,98.9028,95.8571,63.3331,116.0279,81.9043,30.71,,53.1569,47.5794,64.96,236.2896,44.532,27.3606,101.8322,44.0481,29.6037,85.7143,56.1235,18.2135,26.0536,53.0526,40.9856,64.9895,15.895,58.29,102.4863,17.5353,63.4915,69.4105,91.5695,35.7227,17.3175,57.1512,31.2747,21.35,,29.0145,39.2834,65.7674,58.7485,57.7688,115.4,27.51
2013-10-01,103.6623,105.6834,75.1131,70.191,20.4473,95.5464,79.3703,71.6657,110.5119,23.6542,111.0841,70.133,80.0444,88.1323,69.5319,55.5231,73.1361,69.1123,58.6637,36.3026,22.4454,32.9644,14.1325,129.5116,,59.2787,48.1519,99.4759,96.7714,64.6304,115.9056,83.5231,31.38,,53.5782,48.0812,65.16,238.9441,44.2127,27.6183,103.7264,45.0032,29.7635,86.4671,56.1422,18.9148,26.3428,53.2929,41.4042,65.59,16.405,59.32,104.4824,17.5518,64.735,69.9435,92.7199,35.7867,17.4241,57.5736,31.8582,21.5153,,30.2331,40.2459,66.6665,59.6894,57.8243,116.99,27.81
2013-10-02,103.7415,105.3123,74.7701,69.9446,20.5827,93.4109,78.9207,71.9309,108.4144,23.5819,111.1034,68.5737,79.1669,87.2523,69.7896,54.977,73.2073,68.3254,58.8933,35.9883,22.4825,32.7859,14.0749,128.0475,,59.2878,48.1346,99.012,95.8751,63.2024,117.5735,82.5735,30.93,,52.8252,47.4307,64.37,238.9441,43.9708,27.3805,104.4165,45.1347,29.5327,85.1973,55.6734,19.0589,26.2308,52.6341,40.9856,65.2644,16.58,60.41,104.0795,17.4859,64.1227,70.0006,92.3978,35.7776,17.1042,57.5834,31.4206,21.4445,,30.0709,40.3309,67.8435,59.9517,57.2595,115.63,27.91
2013-10-03,101.4526,104.7381,73.5155,69.6086,20.3881,92.2631,77.9005,71.8453,106.4642,23.2291,109.4361,67.5281,77.7827,85.3272,68.7675,54.3797,73.0205,67.7556,58.0174,35.4644,22.7514,32.6732,14.1229,126.5446,,59.0785,47.8237,97.3108,95.2297,62.3811,115.0586,82.1666,31.65,,52.3322,46.8173,63.97,238.1225,43.3805,26.8553,103.5575,44.679,29.1334,84.0544,55.3076,19.6737,26.0256,51.4233,40.0182,64.0128,16.55,59.92,103.4516,17.2551,63.7082,68.9442,91.2106,35.5671,16.7629,56.3064,31.1632,21.1563,,30.0246,40.0667,66.6294,59.3275,56.8984,114.22,27.74
2013-10-04,103.1781,105.489,74.2285,68.9456,20.3458,92.7792,78.6786,72.0421,106.1781,23.1296,110.5733,66.9243,77.7194,85.5472,68.8919,54.5845,73.4297,68.1445,58.7147,35.6216,23.354,32.739,14.286,125.9725,,60.1155,47.9619,97.8658,96.0274,62.5211,116.3248,82.4198,31.74,,53.4168,46.9753,65.02,239.1517,43.5257,26.8751,103.1464,44.9156,29.3109,84.2449,55.8797,19.7217,26.2868,52.0643,40.0275,64.3673,16.535,60.7,104.951,17.2716,63.9343,69.401,91.6524,36.3359,16.9762,56.5225,31.2318,21.2225,,30.0153,40.1327,66.6109,59.9879,57.1391,115.83,27.8
