date,AAPL,MSFT,FB,GOOG,GOOGL,V,CSCO,INTC,MA,NVDA,ORCL,ADBE,IBM,ACN,TXN,CRM,QCOM,PYPL,AVGO,ADP,ATVI,INTU,MU,CTSH,HPQ,AMAT,ADI,FIS,EA,FISV,ADSK,TEL,EBAY,APH,GLW,LRCX,RHT,DXC,HPE,PAYX,AMD,NTAP,MSI,TWTR,GPN,XLNX,MCHP,FLT,WDC,KLAC,TSS,SWKS,BR,ANSS,VRSN,SNPS,TTWO,CTXS,STX,IT,CA,CDNS,AKAM,ANET,SYMC,FFIV,ADS,JNPR,QRVO,WU,FLIR,IPGP,XRX
2013-09-19,61.7788,29.7336,45.98,,449.6442,47.0197,20.9487,20.6026,66.3734,15.076,31.5071,51.869,163.3993,69.557,35.8764,53.38,59.2726,,37.3075,66.5425,16.6033,62.9357,17.161,40.7367,,14.8223,42.6245,43.7642,26.975,25.485,40.94,48.3467,22.9168,37.6433,13.256,46.7639,53.59,,,34.8691,3.95,40.1519,53.7099,,24.8727,42.2135,35.6054,110.73,56.9424,43.0875,28.5537,24.2683,28.3334,86.65,51.9,38.07,17.43,60.7848,31.5982,58.68,26.1579,13.88,52.77,,18.2619,93.1,206.4775,20.3576,,15.9635,30.0003,59.6,23.4629
2013-09-20,61.1392,28.9832,47.49,,452.0066,48.0146,20.8593,20.4768,66.3125,14.9529,31.6559,52.31,160.5519,69.3507,35.6346,52.76,58.9312,,38.104,66.3198,16.4956,63.3337,17.23,40.5691,,14.6794,42.2853,43.5042,26.54,25.4595,41.0,48.0841,23.1272,36.7247,13.0777,46.2665,53.22,,,34.7673,3.83,39.1372,54.3398,,24.9026,41.6522,35.4205,110.68,56.3146,42.731,28.219,24.2304,28.2518,86.06,51.7,37.94,16.99,60.5857,31.6249,58.53,26.1579,13.61,52.711,,18.2076,93.618,205.8103,19.949,,15.794,29.4777,57.97,23.2338
2013-09-23,64.1777,28.9382,47.19,,443.6932,47.3891,20.6593,20.3485,66.0466,14.8062,31.5536,51.8,161.3714,68.4897,35.5906,52.35,58.863,,38.3329,65.1614,16.4664,62.9262,17.05,40.6332,,14.7356,41.902,43.1792,26.19,25.225,40.76,47.4503,23.0473,37.0309,13.2115,46.3792,52.93,,,34.4959,3.79,39.1916,54.3218,,24.6734,41.1926,35.4998,109.87,55.952,42.745,28.0469,24.4861,28.4422,85.94,51.17,37.5,17.23,59.2319,31.2773,59.26,25.9535,13.55,51.979,,17.9186,89.17,204.9174,19.4928,,15.794,29.0858,57.06,23.0963
2013-09-24,63.9763,28.6863,48.45,,443.8634,46.6888,20.5444,20.4217,66.2767,14.863,31.2747,51.42,160.5096,67.3954,35.4543,52.14,58.4619,,38.8272,65.0011,16.4373,62.4998,17.04,40.8599,,16.0755,42.0606,43.4856,26.55,25.4525,40.82,47.3778,23.2198,36.9974,13.2649,47.8601,46.73,,,34.5298,3.8,38.8473,53.9799,,24.7132,41.2986,36.0367,110.42,57.1989,42.6543,27.9035,24.4577,28.551,86.0,51.62,37.42,18.04,57.5676,31.9343,59.57,25.7662,13.6,51.93,,17.8816,87.07,206.7326,19.1981,,15.8618,29.4684,56.73,23.6233
2013-09-25,62.9861,28.7304,49.46,,439.0536,46.259,20.7912,20.4174,64.978,14.8867,31.4886,51.87,160.0872,68.2744,35.4578,52.47,58.6667,,38.6441,64.6179,16.4616,62.7841,16.97,40.9832,,16.4395,41.9196,43.3649,26.6,25.355,40.669,47.4774,22.8158,37.2175,13.3006,48.791,46.89,,,34.428,3.91,38.7114,53.8539,,24.8826,41.2633,35.5174,110.93,57.8621,42.8915,27.8748,23.7901,28.4694,86.7,51.24,37.5,18.35,57.1375,33.5158,59.24,25.8301,13.57,52.08,,17.9975,87.99,205.5846,19.1031,,15.6839,29.0951,57.31,23.8753
2013-09-26,63.5996,28.9647,50.39,,439.5241,46.742,20.2295,20.1675,65.5234,14.8346,31.4328,52.1,160.7209,68.0502,35.5115,53.32,58.7691,,38.6991,64.9743,16.515,62.8788,17.47,40.9092,,16.375,41.8051,43.2999,26.15,25.235,41.94,47.2329,23.8385,37.3084,13.3184,48.4438,46.62,,,34.6062,3.89,39.0738,53.8719,,25.1218,41.3605,35.7286,110.1,56.211,42.5287,28.1616,23.6812,28.5872,87.72,51.73,37.87,18.42,57.3844,32.9581,59.7,25.7577,13.54,52.77,,18.1496,88.1,207.2134,19.1506,,15.7601,29.3751,58.27,23.9157
2013-09-27,63.1457,29.4066,51.24,,438.6332,46.6188,19.8551,19.7971,65.9363,14.7494,31.4049,52.03,157.9326,66.4536,35.318,52.43,57.4976,,39.0927,64.6535,16.3305,63.021,17.62,40.7663,,16.2183,41.3117,43.2163,25.95,25.2725,41.79,47.0518,23.4766,37.0979,13.1312,47.9933,45.95,,,34.2245,3.86,38.5755,53.7639,,25.1567,41.1395,35.4734,111.17,56.211,42.4938,28.0278,23.454,28.6235,86.49,51.18,37.61,18.12,56.381,33.2407,59.98,25.5959,13.55,51.75,,17.9106,86.8,205.3491,18.9605,,15.794,29.2258,57.33,23.8926
2013-09-30,62.3609,29.4154,50.23,,438.393,46.1479,19.941,19.7463,65.0592,14.7305,30.8378,51.94,156.4624,66.05,35.4323,51.91,57.4464,,39.4406,64.4932,16.1946,62.8315,17.469,40.4804,,16.1547,41.4527,43.1235,25.55,25.2625,41.17,46.8888,23.4829,37.0213,13.0064,48.0496,46.14,,,34.4704,3.81,38.6118,53.431,,25.4506,41.4144,35.4645,110.16,56.282,42.452,28.133,23.5203,28.7867,86.52,50.89,37.7,18.17,56.2297,33.4317,60.0,25.2638,13.51,51.7,,17.9251,85.808,207.498,18.875,,15.811,29.3004,56.35,23.7083
2013-10-01,63.8272,29.6806,50.42,,443.9455,46.6598,19.923,19.6679,65.5437,14.721,31.1446,52.43,157.4764,66.2115,35.529,52.63,57.5915,,39.7519,64.2971,16.4082,62.9641,17.61,41.0275,,16.0985,41.5055,43.5321,26.42,25.635,40.49,47.1514,23.5565,37.1361,13.1401,48.425,45.74,,,33.9115,3.86,39.0013,54.7897,,25.2613,41.776,35.4734,111.37,56.8501,42.5496,28.1999,24.202,29.3035,87.76,51.23,37.84,18.38,56.4845,34.1499,59.78,25.4852,13.6,52.42,,17.8527,88.97,210.3337,19.1506,,15.8448,29.5431,57.41,24.1691
2013-10-02,64.0365,29.9811,50.28,,444.439,46.3218,19.9916,19.7153,65.4006,14.7115,31.3119,51.52,156.2766,65.9334,35.4059,53.15,57.7536,,39.7428,64.1724,16.2965,62.9641,17.665,41.2888,,16.1354,41.2324,43.6899,25.62,25.4475,42.55,47.1333,23.4134,37.1026,12.9529,48.2092,45.27,,,33.8767,3.9,38.8111,54.6187,,28.1462,41.2898,35.1125,113.6,57.294,42.5217,28.3911,23.8517,29.2038,87.15,51.62,37.64,18.2,56.3651,35.1048,59.62,25.332,13.36,52.22,,17.7585,89.88,209.9118,19.1791,,15.8364,29.5804,58.36,24.2152
