date,DWDP,PX,ECL,SHW,APD,LYB,PPG,IP,NUE,FCX,NEM,BLL,VMC,EMN,WRK,MLM,CF,FMC,ALB,MOS,PKG,IFF,AVY,SEE
2017-09-01,65.7283,127.5653,131.3127,340.6826,141.9038,87.1151,102.8898,53.0349,54.1248,14.9849,38.2255,39.7471,120.1079,85.371,56.2721,209.7437,29.1089,86.74,117.2348,19.8815,110.9274,135.1985,93.3329,44.2937
2017-09-05,63.5759,126.8546,131.6883,342.0309,140.7541,86.285,101.7585,52.919,53.4324,14.7065,38.3145,39.5887,117.0755,83.3763,55.2133,206.016,28.235,84.9637,115.2978,19.2389,109.402,136.4923,93.1266,43.5842
2017-09-06,63.4682,128.2857,129.3754,340.0282,140.7834,88.5341,102.5061,53.0059,53.9395,14.975,37.9487,39.5986,117.9773,83.1808,55.1647,207.3147,30.2934,85.6385,117.2644,19.6673,109.1478,136.2963,91.4468,42.8057
2017-09-07,63.2823,129.5173,130.008,336.6474,140.6567,88.5341,102.3192,52.8224,52.9156,15.1241,39.155,39.856,118.6512,82.9461,54.8539,207.057,30.7595,86.9881,116.7011,19.4581,109.7834,137.7664,91.0342,43.1112
2017-09-08,63.4487,129.7328,129.6027,341.6046,141.2413,88.4182,101.906,52.9094,53.1984,14.1596,38.8682,39.8758,120.425,82.9461,54.8539,210.1799,31.109,86.4721,116.8889,19.3186,111.2598,139.0112,91.5451,42.3918
2017-09-11,65.4054,132.2303,128.3277,344.5492,145.343,90.4067,104.1785,54.1843,52.6328,14.3088,37.7905,40.5292,115.9458,83.6892,56.0973,202.5064,31.3712,88.2881,122.3934,19.9363,114.2029,140.2952,92.5176,42.9732
2017-09-12,67.0394,132.0442,128.4759,347.355,145.4404,91.2947,104.9556,54.107,52.1549,14.2193,37.919,40.3114,116.9368,84.2857,56.311,203.3887,31.2547,89.0125,123.1741,20.1854,115.6402,140.3638,93.5491,42.9929
2017-09-13,67.9982,131.388,127.9224,343.9544,145.3625,90.899,103.3521,54.2326,52.2719,13.8613,37.5277,39.955,115.9656,83.699,55.6893,201.5447,31.1673,88.9529,124.1228,20.0558,114.0073,140.2952,93.3329,42.7959
2017-09-14,68.5069,131.3292,129.494,343.5776,146.2101,91.1499,104.7491,54.3388,52.623,13.7818,37.706,40.0045,113.5079,83.6596,55.7767,197.7278,31.4197,89.1216,124.8362,20.3647,113.8402,140.8048,94.0697,42.6283
2017-09-15,68.3504,131.4565,129.5336,338.0651,146.2686,91.8642,104.572,54.3098,52.1744,13.8016,37.498,40.1233,112.1899,83.5711,55.9127,197.4898,31.9343,88.8735,126.1143,20.5839,113.9188,140.9225,95.1208,42.8156
2017-09-18,68.2624,131.9658,129.3848,336.7961,147.0675,92.26,105.0639,55.1018,52.9253,14.0502,37.4286,40.3708,114.5485,84.0138,56.0875,200.6623,34.0801,90.6597,129.8098,21.2315,114.2531,141.2753,97.1641,42.2637
2017-09-19,68.5363,133.6994,129.593,339.8101,146.629,93.206,106.5788,55.5365,53.7445,14.3983,37.7357,40.2025,114.1422,85.2532,55.699,197.4402,34.5073,91.4338,133.4063,20.7632,115.2755,141.7458,96.7613,41.1108
2017-09-20,68.8885,135.1489,129.6525,344.0733,147.0967,92.7137,107.0412,55.8649,54.5929,14.1,37.28,40.3708,117.135,84.6433,56.583,200.4145,34.1675,91.2452,134.8231,20.7931,117.2613,142.128,97.1346,41.2586
2017-09-21,68.8005,135.717,129.7912,346.6214,147.1649,92.4627,107.2183,55.3337,53.1594,13.9011,37.0819,40.3906,115.9458,84.3974,55.9613,198.0847,34.9151,89.7468,133.6441,20.8629,116.7894,140.9127,97.0757,41.8203
2017-09-22,68.4482,134.7669,130.1778,346.7701,146.3952,93.5052,106.992,54.136,53.1789,13.9806,37.5376,40.5886,115.6187,85.0663,54.0768,196.9842,34.2063,89.2605,133.0496,20.7832,114.2432,142.0255,97.0167,41.8794
