date,AMT,SPG,CCI,PLD,EQIX,PSA,WY,DLR,AVB,WELL,EQR,VTR,BXP,SBAC,O,ESS,HST,CBRE,ARE,VNO,HCP,MAA,EXR,UDR,DRE,IRM,REG,FRT,SLG,KIM,AIV,MAC
2013-09-12,67.5281,123.3671,60.0997,31.6493,151.5314,131.3188,23.8019,43.8253,110.4983,47.5401,39.752,48.1382,87.48,77.24,31.2597,129.9484,14.6091,23.54,53.2786,72.9687,31.1938,51.5957,36.6813,20.0944,12.2722,17.9064,40.6809,86.6362,78.6148,16.234,24.1289,45.4537
2013-09-13,67.1546,123.5501,59.2767,31.5724,150.894,131.3946,23.8607,44.0272,110.319,47.9047,39.6576,48.7249,87.6473,76.5,31.2438,130.6506,14.6334,23.4,53.3717,73.1677,31.3451,51.3398,37.1964,20.1702,12.3862,17.9131,40.6383,87.2698,79.4872,16.25,24.2052,45.6132
2013-09-16,67.6648,126.2038,59.8197,31.8713,148.0883,132.7167,24.1801,44.116,111.0277,48.7191,39.8174,50.1363,88.5338,77.27,31.8017,131.691,14.682,23.57,53.7354,73.8687,31.9428,51.5461,37.3569,20.2628,12.6061,18.1085,41.2599,87.2959,80.0247,16.6192,24.3747,46.3149
2013-09-17,67.3459,125.9709,59.7773,32.0677,149.094,133.5083,24.0204,44.4633,110.3361,48.7269,39.6285,49.8667,88.4,77.28,31.6503,131.1708,14.8279,23.66,54.1329,73.6004,31.5948,51.1581,37.2978,20.1702,12.6549,18.3375,41.4814,87.4434,79.6986,16.563,24.1374,46.2352
2013-09-18,69.0132,128.4915,59.9046,33.4427,152.7587,139.4788,24.6172,46.5553,115.1437,50.8754,41.0379,51.968,92.7405,77.4,32.5031,136.2685,15.152,24.24,56.6281,76.2571,33.2517,52.4377,38.8853,20.9194,13.2087,18.9775,43.0568,91.1408,82.1394,16.8037,25.2307,47.8141
2013-09-19,68.4187,128.5414,60.4222,33.2121,156.2103,139.7904,24.6003,45.9899,115.545,50.7203,41.1988,51.0085,92.9329,77.44,32.2241,135.0201,15.0961,23.99,57.0087,76.7244,32.8129,53.2055,39.4426,20.8268,13.225,19.5501,42.7843,91.2894,81.7957,16.9401,25.1205,47.535
2013-09-20,67.5957,125.6132,59.9216,32.5289,156.841,137.963,24.2137,44.528,113.6066,49.4327,41.0452,49.8985,91.461,77.22,31.8177,132.2025,14.7631,23.81,55.7315,74.6995,31.8445,52.3304,39.3412,20.4564,13.0295,19.3211,41.9582,89.8554,80.4652,16.555,24.5865,46.3468
2013-09-23,66.7179,125.8544,59.947,32.5801,156.3552,136.6241,23.7515,45.0207,112.5307,48.8044,40.3721,49.5416,91.5195,77.22,31.5865,130.694,14.6415,23.59,56.036,74.4485,31.504,51.5379,39.1132,20.187,12.997,19.3211,41.805,89.6892,79.681,16.4426,24.1119,46.1793
2013-09-24,66.6173,124.7813,59.6755,32.3239,154.5911,135.1335,23.8271,45.0449,110.6435,48.9208,39.7209,49.4861,89.6545,77.42,31.8097,128.882,14.52,23.3,55.3509,73.2889,31.3224,50.9435,38.6404,19.9008,12.8178,19.6747,41.1833,89.2171,78.3769,16.258,23.8238,45.8285
2013-09-25,67.4586,124.9809,60.6088,32.4435,154.7786,136.6493,23.9784,44.843,111.7963,49.1923,39.9185,49.9302,88.9101,77.99,32.2799,130.3472,14.5848,23.4,55.3086,73.0379,31.5267,50.7536,39.0795,20.0018,12.7852,19.0626,41.2174,88.8323,78.1478,16.2019,23.9085,45.5015
2013-09-26,68.245,125.8378,61.941,32.879,156.4319,137.2725,24.2221,45.2549,111.6671,49.425,39.9989,50.176,89.8189,79.69,32.7502,130.959,14.6745,23.42,55.4625,73.7302,31.6175,51.8433,39.299,20.1954,12.8992,18.9674,41.6006,89.5756,78.5724,16.3864,23.9933,46.0916
2013-09-27,68.1444,124.8645,61.6949,32.7082,156.9348,136.9188,24.3146,44.1403,111.3228,49.0061,39.9111,49.6844,90.1134,79.83,32.2313,130.7405,14.5359,23.34,54.9496,73.0466,31.4359,52.1405,38.8515,20.1954,12.8097,18.8518,41.277,89.4444,78.3513,16.3463,23.8916,45.661
2013-09-30,67.7878,123.3089,61.9665,32.1275,156.5172,135.2009,24.0624,42.8884,109.42,48.3856,39.1941,48.7646,89.9536,80.46,31.823,129.0886,14.4135,23.13,54.5736,72.7437,30.982,51.5957,38.6319,19.9513,12.5735,18.3758,41.1748,88.7099,78.5724,16.1938,23.6797,45.0071
2013-10-01,67.7238,124.3986,61.2028,32.6826,155.0428,137.0535,24.4827,43.9545,109.9366,49.2621,39.7355,50.0412,90.6604,79.42,32.5435,131.2037,14.6011,23.61,55.1377,73.3148,31.7083,51.4141,39.4932,20.2123,12.8504,18.3486,42.086,90.3888,79.7752,16.356,23.9509,45.3819
2013-10-02,67.6598,126.104,60.7276,33.0925,149.6735,137.862,24.4322,44.0676,110.9612,48.6958,39.5673,50.3346,90.5089,78.717,32.4635,132.3836,14.7724,23.24,55.1804,72.9168,31.6024,52.6028,39.2061,20.2628,12.7364,18.0833,41.8305,90.5112,79.7133,16.3641,23.7983,45.4935
2013-10-03,67.1477,123.7664,60.3288,32.6399,141.9947,136.4135,24.1801,42.6622,108.7054,47.765,38.6747,49.1848,89.7853,77.64,31.871,129.6218,14.3972,22.75,54.2402,71.9562,30.127,50.8444,38.5897,19.8503,12.5002,17.6821,41.1152,89.663,78.1744,15.9668,23.417,44.8875
2013-10-04,66.471,124.0908,59.9555,32.5374,142.8129,137.062,24.0288,42.4037,107.5431,47.9745,38.5064,48.9232,89.6001,77.51,31.783,130.321,14.5032,22.55,54.1547,73.1418,29.5445,50.8032,38.843,19.8839,12.5816,17.7501,41.1663,89.7505,78.5724,15.8776,23.5271,44.4011
2013-10-07,66.7819,125.6631,60.4985,32.23,141.2191,137.6093,24.0372,43.5668,107.612,48.1218,38.7771,49.2562,88.8176,78.05,31.759,131.3261,14.3483,22.5,54.2744,73.0293,30.1573,51.3232,38.9021,20.027,12.5898,17.8113,41.3451,90.1789,78.2717,15.8938,23.6119,44.4967
2013-10-08,65.7394,123.9827,59.6161,32.0336,139.9493,136.2872,23.6338,42.4037,106.6477,47.7961,38.1771,49.2245,87.1346,77.11,31.4307,130.9503,14.1199,22.11,54.2573,72.4408,30.3843,50.7536,38.6488,19.8357,12.3699,17.5869,40.8086,89.2258,77.5022,15.61,23.1966,44.114
