date,T,VZ,CTL
2013-09-12,26.7615,37.6408,21.3034
2013-09-13,26.7187,37.9668,21.2771
2013-09-16,26.9133,38.396,21.231
2013-09-17,27.0535,38.6107,21.3363
2013-09-18,27.2092,38.7299,21.4153
2013-09-19,27.1002,38.563,21.5205
2013-09-20,26.7148,37.9827,21.2376
2013-09-23,26.6408,38.1424,21.2113
2013-09-24,26.5396,37.5772,21.1653
2013-09-25,26.5085,37.3189,21.0534
2013-09-26,26.6486,37.8952,21.1258
2013-09-27,26.454,37.3626,20.9087
2013-09-30,26.3294,37.1042,20.6455
2013-10-01,26.5163,37.3547,20.8955
2013-10-02,26.4229,37.1957,20.7968
2013-10-03,26.1893,37.3706,20.5205
2013-10-04,26.2749,37.4421,20.5271
2013-10-07,26.4696,37.5931,20.6652
2013-10-08,26.1224,37.0223,20.5797
2013-10-09,26.6273,37.1429,21.1784
2013-10-10,26.9429,37.6735,21.935
2013-10-11,26.9824,37.8584,21.8561
2013-10-14,26.7615,37.6333,21.5008
2013-10-15,26.5958,37.2394,21.4021
2013-10-16,26.9824,37.9871,21.6587
2013-10-17,27.1717,39.3136,21.8758
2013-10-18,27.3059,40.206,21.7179
2013-10-21,27.7871,40.6642,21.7048
2013-10-22,27.795,41.1145,21.9877
2013-10-23,27.8337,40.8572,21.9679
2013-10-24,27.3216,40.5356,21.8561
2013-10-25,27.7634,40.7688,21.889
2013-10-28,28.0633,40.6562,22.0534
2013-10-29,28.6155,41.0743,22.2442
2013-10-30,28.6076,40.624,22.06
2013-10-31,28.5603,40.608,22.2771
2013-11-01,28.5919,40.5919,22.0929
2013-11-04,28.7575,41.0662,22.2113
2013-11-05,28.0317,40.2783,21.9613
2013-11-06,28.2605,40.6884,22.2969
2013-11-07,27.7003,40.3346,20.9284
2013-11-08,27.7477,40.3587,20.6126
2013-11-11,27.6372,40.1658,20.731
2013-11-12,27.7477,40.3266,20.6784
2013-11-13,27.6688,40.1899,20.7113
2013-11-14,27.7398,40.415,20.9481
2013-11-15,27.9528,40.4472,21.1192
2013-11-18,28.0869,40.809,21.1784
