date,NEE,DUK,D,SO,EXC,AEP,SRE,PEG,ED,XEL,PCG,EIX,WEC,PPL,DTE,ES,FE,EVRG,AEE,AWK,ETR,CMS,CNP,NRG,LNT,NI,PNW,AES,SCG
2013-09-16,68.4491,53.2136,50.4538,32.2824,25.0789,35.6142,73.9146,26.7854,45.4064,22.7642,35.2742,38.8836,33.6343,23.7056,55.5249,36.0021,29.8679,,27.8605,34.942,50.6415,22.2378,18.4258,25.3815,20.8099,10.2555,44.0085,11.3258,38.3848
2013-09-17,68.3021,53.3425,50.9822,32.448,25.1785,35.9303,74.6605,27.1324,45.5465,22.7475,35.3344,39.0997,33.7606,23.9353,55.786,36.109,30.2283,,28.0441,35.2546,50.6653,22.2293,18.9253,25.7131,20.8014,10.2895,44.1969,11.3003,38.5009
2013-09-18,71.3714,54.8818,52.3362,33.6151,25.7428,37.2694,76.9936,28.0082,46.9554,23.4526,36.2378,40.3791,34.7122,24.5137,57.454,37.3299,30.7409,,29.0617,36.4512,52.1504,22.9189,19.586,25.7039,21.3021,10.4732,45.6297,11.5811,39.6286
2013-09-19,71.5011,54.7448,52.1876,33.3548,25.5934,37.1529,76.1783,28.0082,46.6176,23.3602,36.1259,39.9123,34.6532,24.3077,57.2097,37.1606,30.3645,,29.0033,36.2636,51.6342,22.8338,19.5054,25.6026,21.2342,10.3916,45.6952,11.5294,39.2555
2013-09-20,69.7633,54.2854,51.4115,32.9448,25.0042,36.3711,75.2416,27.4712,46.115,23.2931,35.67,39.7826,34.19,23.8561,56.5947,36.7061,29.3633,,28.8615,35.6118,50.5303,22.638,19.2718,25.3539,20.9457,10.3338,45.1794,11.3512,38.5672
2013-09-23,70.2215,54.5836,51.717,33.2523,25.2449,36.8701,76.3518,27.8677,46.4693,23.6708,36.2464,40.673,34.7627,24.2681,56.9486,37.0982,30.1482,,29.2202,36.0672,51.1736,22.9445,19.5376,25.7407,21.3276,10.4868,45.6788,11.4615,39.1643
2013-09-24,70.2215,54.5514,51.5602,33.1814,25.3278,36.7703,76.0743,27.9917,46.3539,23.6204,36.298,40.6298,34.7627,24.3711,56.5947,37.018,29.964,,29.5205,36.4244,50.8083,22.8168,19.3604,25.8052,21.2766,10.4902,45.556,11.47,39.1228
2013-09-25,69.452,54.2049,51.5354,32.8975,25.1536,36.421,75.7598,27.719,45.9584,23.3854,36.0227,40.2927,34.3922,24.1572,56.064,36.8398,29.7077,,29.5622,36.3797,50.5303,22.4507,19.3362,25.8236,21.2385,10.429,45.1712,11.4615,38.5672
2013-09-26,69.5471,54.5192,51.8574,32.7477,24.971,36.2962,76.0393,27.5373,45.8431,23.4022,35.6965,39.9683,34.3248,24.1413,56.0724,36.9289,29.5875,,29.3286,36.7191,50.5224,22.4337,19.4087,25.7315,21.3021,10.429,45.0811,11.5294,38.5009
2013-09-27,69.2272,53.9147,51.5436,32.5111,24.6805,36.1299,75.6724,27.2811,45.4394,23.2427,35.4704,39.8899,33.9458,24.0383,55.6512,36.9289,29.3072,,29.2035,36.5048,50.2842,22.3145,19.2798,25.5289,21.0942,10.4324,44.9747,11.4276,38.1692
2013-09-30,69.305,53.818,51.5849,32.4717,24.5976,36.055,74.7813,27.2068,45.4311,23.1756,35.5922,40.1076,34.0048,24.07,55.5838,36.7596,29.1951,,29.0617,36.8619,50.1809,22.4081,19.312,25.1697,21.0263,10.5072,44.8191,11.2749,38.1775
2013-10-01,69.2272,54.2129,51.6097,32.5505,24.5976,36.3628,74.5629,27.4381,45.4559,23.3266,35.5487,40.1076,34.0974,24.2839,55.7102,36.8665,29.5795,,29.0867,36.9959,50.57,22.4592,19.4893,25.2802,21.2979,10.5447,45.0893,11.3512,38.1526
2013-10-02,69.5212,54.1968,51.4693,32.59,24.6556,36.4959,74.7988,27.5703,45.4806,23.3015,35.6704,40.1512,34.1985,24.3156,55.8702,36.9556,29.6917,,29.1451,37.0852,50.848,22.5188,19.6665,25.3723,21.2342,10.514,45.0811,11.3258,38.0199
2013-10-03,68.6912,53.4554,51.1556,31.9828,24.2075,36.0384,74.6153,27.182,45.0109,22.8818,35.0616,39.8987,33.7521,23.9591,54.9183,36.5635,29.4113,,28.8031,36.3887,50.435,22.1272,19.2315,25.1789,20.9626,10.378,44.6062,11.2409,37.6302
2013-10-04,68.8641,53.536,51.3703,32.0617,24.2573,36.0467,74.6852,27.1985,44.9121,22.9153,35.0181,40.3602,33.8364,23.8719,54.8172,36.5546,29.6116,,28.8115,36.2369,50.4112,22.1612,19.441,25.2618,20.9287,10.4052,44.5571,11.3512,37.3151
2013-10-07,68.6047,53.4634,50.8997,31.9276,24.1328,35.8804,74.659,27.0415,45.1428,22.8062,34.8528,40.0728,33.6343,23.7531,54.3623,36.2516,29.7878,,28.5529,35.8797,50.3874,22.0505,19.2315,25.1052,20.7674,10.3065,44.5899,11.2749,37.199
2013-10-08,68.8987,54.1565,50.8666,32.3376,24.3154,36.1715,74.6328,27.2646,45.6618,23.1504,35.3573,40.4995,33.8869,23.7927,54.8172,36.5546,29.996,,28.6864,35.7993,50.4668,22.1016,19.2154,25.2986,20.9457,10.2759,44.8846,11.2834,37.34
