,industry,security1,security2,pvalue
0,Information Technology,MSFT,ADP,0.00069215660589973
1,Information Technology,MSFT,CTXS,0.00210580109390474
2,Information Technology,FB,KLAC,0.006426762171088486
3,Information Technology,GOOGL,ATVI,0.0007132924092549305
4,Information Technology,GOOGL,CTXS,0.0008599987089490593
5,Information Technology,CSCO,BR,0.009058827416901213
6,Information Technology,MA,INTU,0.009950008358978673
7,Information Technology,MA,ANSS,0.004774659018315971
8,Information Technology,NVDA,ADSK,0.001457632615409811
9,Information Technology,ORCL,AMAT,0.009443433687314021
10,Information Technology,ORCL,TEL,0.008757430798174712
11,Information Technology,ORCL,GLW,0.0010520639861730592
12,Information Technology,ORCL,LRCX,0.0060953293334085785
13,Information Technology,ADBE,ADP,0.009475949085162217
14,Information Technology,ACN,GPN,0.0012483729190236983
15,Information Technology,ACN,TSS,0.00854334451615934
16,Information Technology,CRM,INTU,0.007303317263420186
17,Information Technology,CRM,BR,0.0064694781366221215
18,Information Technology,ADP,INTU,0.0008036720436481741
19,Information Technology,ADP,MSI,0.004245341825792357
20,Information Technology,ADP,CTXS,0.002414201420614264
21,Information Technology,INTU,BR,0.003186439666844459
22,Information Technology,FIS,CTXS,0.0021203877038165936
23,Information Technology,FISV,GPN,0.00022930150591243318
24,Information Technology,ADSK,TTWO,0.005664010135704128
25,Information Technology,APH,SNPS,0.002156400509002997
26,Information Technology,GPN,CTXS,0.007345586207654339
27,Information Technology,XLNX,TTWO,0.00743406949059974
28,Information Technology,BR,CTXS,0.007309526962033895
29,Information Technology,CTXS,IT,0.00984424471006883
30,Consumer Discretionary,CMCSA,CHTR,0.0003831951390010935
31,Consumer Discretionary,CMCSA,TRIP,0.0007292139624033684
32,Consumer Discretionary,CHTR,TRIP,0.0038444507512955927
33,Consumer Discretionary,F,ROST,0.0022332146802028297
34,Consumer Discretionary,F,YUM,0.009304250154540485
35,Consumer Discretionary,F,ORLY,0.006134926326064006
36,Consumer Discretionary,F,RCL,0.007117238388170379
37,Consumer Discretionary,F,ULTA,0.001132658623234126
38,Consumer Discretionary,F,EXPE,0.0015812258260014922
39,Consumer Discretionary,F,GPC,0.006142313471752937
40,Consumer Discretionary,F,DRI,0.003013630701126601
41,Consumer Discretionary,F,HAS,0.00021389215672888733
42,Consumer Discretionary,F,VIAB,0.0048989290422630965
43,Consumer Discretionary,F,IPG,0.0015717173443372623
44,Consumer Discretionary,F,LEG,0.007908511258356496
45,Consumer Discretionary,F,TRIP,0.008903987099448459
46,Consumer Discretionary,EXPE,VIAB,0.008655316922031813
47,Consumer Discretionary,LEN,MAT,0.0003217402463099772
48,Consumer Discretionary,MHK,TRIP,0.0026348013796973365
49,Consumer Discretionary,RL,GT,0.002870108993540242
50,Financials,JPM,SCHW,0.006892299413498768
51,Financials,JPM,STI,0.000925530520395273
52,Financials,GS,LNC,0.0055623189894554725
53,Financials,PNC,SCHW,0.0039018223701973538
54,Financials,MS,STT,0.005175844919667698
55,Financials,SCHW,BBT,0.0008265171365885594
56,Financials,SCHW,NTRS,0.0035047735152457654
57,Financials,BK,CBOE,0.005485044780548124
