,industry,security1,security2,pvalue
0,Information Technology,MSFT,ADP,0.0006670537805656902
1,Information Technology,MSFT,CTXS,0.003331156892919917
2,Information Technology,FB,KLAC,0.006466225723715667
3,Information Technology,GOOGL,ATVI,0.0019212740900784236
4,Information Technology,GOOGL,CTXS,0.002221549351608464
5,Information Technology,MA,ANSS,0.0013681600267169938
6,Information Technology,NVDA,ADSK,0.0012946224827760442
7,Information Technology,ORCL,AMAT,0.005255501621500537
8,Information Technology,ORCL,TEL,0.006832090640671678
9,Information Technology,ORCL,APH,0.009210130899726509
10,Information Technology,ORCL,GLW,0.0006265799510920599
11,Information Technology,ORCL,LRCX,0.003326961247255117
12,Information Technology,ADBE,ADP,0.009710155017161569
13,Information Technology,ADBE,INTU,0.009564550073447755
14,Information Technology,ACN,GPN,0.0017800899374324573
15,Information Technology,CRM,INTU,0.006979911279715632
16,Information Technology,CRM,BR,0.006103234310706712
17,Information Technology,ADP,INTU,0.0008163097480551042
18,Information Technology,ADP,MSI,0.00422116181510054
19,Information Technology,ADP,CTXS,0.003171253877528645
20,Information Technology,INTU,BR,0.003133027071554964
21,Information Technology,FIS,CTXS,0.005100306985465047
22,Information Technology,FISV,GPN,0.00021312370001081847
23,Information Technology,ADSK,TTWO,0.006316342383131889
24,Information Technology,APH,SNPS,0.0038406044661954556
25,Information Technology,XLNX,TTWO,0.008107075296981518
26,Information Technology,CTXS,IT,0.005840335133416107
27,Consumer Discretionary,CMCSA,CHTR,0.0003415517057869842
28,Consumer Discretionary,CMCSA,TRIP,0.0006570773731319839
29,Consumer Discretionary,CHTR,TRIP,0.003340218016652989
30,Consumer Discretionary,F,ROST,0.0024901158028357126
31,Consumer Discretionary,F,ORLY,0.006644209935525203
32,Consumer Discretionary,F,RCL,0.009825943073585468
33,Consumer Discretionary,F,ULTA,0.001381732631065787
34,Consumer Discretionary,F,EXPE,0.0019497144653279255
35,Consumer Discretionary,F,GPC,0.007222167575298233
36,Consumer Discretionary,F,DRI,0.003073346652996904
37,Consumer Discretionary,F,HAS,0.00033406632590519546
38,Consumer Discretionary,F,VIAB,0.00566413436218929
39,Consumer Discretionary,F,IPG,0.0018765050907496891
40,Consumer Discretionary,F,LEG,0.009262592760084093
41,Consumer Discretionary,EXPE,VIAB,0.007866251121062422
42,Consumer Discretionary,LEN,MAT,0.00029670203881435096
43,Consumer Discretionary,MHK,TRIP,0.0026867505851693244
44,Consumer Discretionary,HAS,TRIP,0.00939481720027218
45,Consumer Discretionary,RL,GT,0.003035839460867819
46,Financials,JPM,SCHW,0.004470061424659157
47,Financials,JPM,STI,0.009827594218780416
48,Financials,WFC,XL,0.0039783774295580115
49,Financials,PNC,SCHW,0.003576423482998973
50,Financials,MS,STT,0.003923947007137325
51,Financials,SCHW,BBT,0.0016656316975035934
52,Financials,SCHW,NTRS,0.003702428615073986
53,Financials,BK,CBOE,0.006074573390073984
54,Financials,COF,KEY,0.008344118069812933
55,Financials,MET,LNC,0.003940031064283769
56,Financials,BBT,RJF,0.0006235802915088552
57,Financials,BBT,ZION,0.001086218035093748
58,Financials,PGR,MSCI,0.006232882545137529
59,Financials,MTB,RJF,0.0021019069925080386
60,Financials,NTRS,HBAN,0.0022374856560375745
61,Financials,RF,CMA,0.0001566638830987175
62,Financials,FITB,ZION,0.002268990907372206
63,Health Care,UNH,TMO,0.004331890116881904
64,Health Care,UNH,BDX,0.00011482930438324952
65,Health Care,UNH,SYK,0.00024559608355033337
