date,JNJ,UNH,PFE,MRK,ABBV,MDT,AMGN,ABT,LLY,BMY,GILD,TMO,CVS,BIIB,ANTM,BDX,AET,AGN,DHR,CELG,ISRG,SYK,ILMN,ESRX,BSX,HUM,VRTX,CI,ZTS,BAX,HCA,REGN,CNC,EW,ALGN,ALXN,MCK,ZBH,A,IDXX,IQV,CERN,MYL,LH,CAH,ABMD,RMD,MTD,WAT,DGX,ABC,COO,INCY,HSIC,UHS,HOLX,NKTR,PKI,VAR,PRGO,DVA,XRAY,EVHC
2013-09-23,77.649,66.3797,24.0956,40.7474,39.5531,48.5179,102.1567,31.484,46.0726,40.8713,57.4073,91.4027,52.8261,242.674,76.7415,93.9146,60.7161,135.0552,51.249,73.39,123.6099,66.4228,81.62,62.28,11.5,91.8156,75.589,78.1136,30.3964,35.7861,41.6098,295.76,30.595,34.635,47.45,112.5,125.1689,80.4422,35.1754,49.595,44.86,49.26,38.07,99.44,47.6375,18.88,47.9666,239.97,105.96,56.4417,57.0853,129.0261,35.44,52.5,72.2177,20.07,13.74,36.8558,67.5402,121.0242,57.95,42.8825,
2013-09-24,76.8907,66.8418,24.0203,40.6192,38.6125,48.22,101.917,30.8027,45.5428,41.1084,57.5541,90.913,52.572,243.54,77.7937,93.1864,61.3887,135.7665,50.7995,73.22,121.2965,66.0776,80.96,60.94,11.46,92.4997,74.53,78.1835,30.3001,35.4972,41.06,295.11,32.38,34.845,47.48,113.59,123.6321,80.3559,35.1278,49.005,44.76,48.89,38.13,99.17,46.8771,20.45,47.7214,239.4,106.66,56.2159,56.4734,127.5686,36.04,52.035,71.8241,20.485,13.67,36.8169,66.6547,120.9464,57.6,42.7074,
2013-09-25,75.8971,66.5276,23.8362,40.7389,38.0667,47.6605,99.8748,30.1841,45.6991,40.924,56.6276,90.4722,52.4449,241.512,77.1845,92.4121,61.4929,135.5327,51.3413,72.781,122.4365,64.1745,80.3,62.63,11.45,91.2856,74.67,78.1935,29.8959,33.2257,41.6345,292.23,31.975,34.225,47.42,113.05,124.1831,78.5015,35.2844,48.845,44.69,48.99,38.14,98.75,46.8771,18.93,47.8576,240.38,106.72,56.1707,56.5661,129.0161,36.57,51.705,72.5129,20.33,13.41,36.5735,65.8046,119.7599,57.37,42.2911,
2013-09-26,75.8884,66.6939,23.8613,40.7474,37.7896,47.7778,100.2033,30.1751,44.3354,41.205,57.6091,91.0991,52.7989,243.05,77.6275,93.0297,61.3603,139.0211,51.4298,74.945,122.7965,64.0574,82.23,62.54,11.67,90.6189,76.53,77.914,30.3964,33.0514,41.9713,305.53,32.085,34.29,48.08,115.97,124.1444,79.0204,35.4614,49.13,45.1,48.73,38.37,98.87,46.8055,18.64,48.0393,242.56,107.73,56.3604,56.7052,129.7548,37.54,52.055,73.0836,20.41,13.85,37.0992,65.6009,119.4876,57.6,42.369,
2013-09-27,75.5921,66.5368,24.1625,40.8414,37.2269,47.832,100.5052,29.709,43.8663,40.564,58.288,91.0991,52.4631,244.82,77.4799,92.0802,61.0761,140.6094,51.5035,77.305,122.4865,63.355,81.01,61.93,11.52,90.7155,76.098,77.5246,29.9825,33.0663,41.6741,305.65,32.315,34.395,47.78,116.42,124.966,79.078,35.2294,49.285,44.93,52.61,38.32,98.63,47.0417,18.75,47.8576,240.19,107.28,56.0245,56.8164,130.3038,37.57,51.74,73.1033,20.91,10.541,37.0992,65.6894,120.3045,56.98,42.2522,
2013-09-30,75.5572,66.1856,24.0328,40.6867,37.5628,48.0576,99.382,29.7538,43.7186,40.6343,57.6733,90.2568,51.51,240.76,77.1661,92.2001,60.6404,140.3171,51.0981,77.0685,125.4232,63.2988,80.83,61.8,11.74,90.1841,75.82,76.7359,29.9536,32.7226,42.3477,312.87,31.98,34.815,48.1,116.16,124.0091,78.9243,34.9701,49.825,44.88,52.55,38.17,99.14,46.9247,19.06,47.9666,240.09,106.21,56.0881,56.6495,129.4653,38.15,51.8825,73.7921,20.65,10.445,36.7487,66.1765,119.9933,56.9,42.2765,
2013-10-01,76.237,67.0821,24.1709,41.6533,38.4614,48.3013,101.7394,30.2827,44.014,41.4771,57.6091,90.9424,52.2271,244.92,79.4734,93.0297,61.4739,141.389,51.2086,78.6,124.1332,63.6453,81.19,62.63,11.76,92.136,77.02,78.4231,30.5889,32.6678,44.1803,316.632,32.485,35.655,49.26,117.39,127.1214,79.1837,35.4136,51.37,44.67,53.97,39.45,98.95,47.7615,19.14,48.5024,242.53,105.7,56.4148,57.929,130.5334,40.0,52.591,74.4613,20.84,10.45,36.9434,66.7167,121.7633,57.77,42.4762,
2013-10-02,76.0801,67.0729,24.2713,41.3371,38.5873,48.5553,100.3898,30.3903,43.901,41.5125,57.2422,90.5996,51.8277,246.23,79.9256,92.7808,61.3413,142.6362,50.958,77.965,123.1999,63.4393,80.71,62.41,11.75,91.6722,76.74,78.2934,30.8006,31.8259,44.9134,313.67,32.15,35.915,48.87,116.75,126.1838,79.7698,35.1884,51.39,44.04,53.78,39.49,99.83,47.8785,18.89,48.3026,241.3,105.65,56.7961,57.6694,129.2457,40.38,52.555,75.4551,21.0,10.3,36.8558,66.389,121.6758,57.94,42.7001,
2013-10-03,75.4613,67.0267,24.0705,41.3286,38.6377,48.1198,98.6654,29.8434,42.3896,41.1852,56.6092,89.4634,51.4102,233.84,79.8149,91.7207,60.8393,140.7946,50.1177,76.31,120.3132,63.0647,78.84,61.63,11.66,91.1987,77.16,77.9739,30.3001,32.1099,45.5077,303.57,32.285,36.095,47.87,114.22,125.2366,79.4239,34.8404,50.63,43.25,53.57,39.99,99.8,48.1395,19.1,48.4661,238.84,104.59,56.7325,56.9462,126.6402,40.82,51.955,75.7996,20.86,10.4,36.5054,65.8488,121.7731,57.67,42.0866,
2013-10-04,76.0976,67.4611,24.2629,41.2175,39.3011,48.4011,100.2566,30.0855,42.0248,42.0344,57.8293,90.4624,51.628,240.3,80.4886,92.5688,62.9326,143.1429,50.5084,78.635,121.4265,63.4018,81.19,62.53,11.69,93.2859,77.21,79.102,30.8487,32.3838,45.6662,308.6,32.775,36.405,45.8,116.44,127.4597,80.1253,35.3317,50.995,43.98,54.71,40.25,100.47,48.4544,19.23,49.0473,239.76,105.0,56.0971,57.9198,126.8498,40.11,52.65,76.4195,20.75,10.68,36.7779,66.3624,125.5077,58.37,43.3233,
2013-10-07,75.47,66.7032,23.945,40.9269,38.7049,47.8295,97.868,30.0317,41.3907,41.5921,56.6643,89.8356,51.4919,236.59,79.6303,91.6562,61.9002,140.473,50.0218,76.935,126.9965,63.252,78.63,62.6,11.63,91.5175,75.48,78.0138,30.7332,32.2992,45.8247,298.95,32.405,36.29,45.02,114.49,125.2946,79.9524,34.8882,50.8,42.55,54.19,40.055,100.05,48.4634,19.68,48.7476,238.3,103.81,56.5056,57.4562,126.191,38.27,51.91,75.6716,20.56,10.3,36.2523,66.0259,125.6535,58.0,42.7878,
2013-10-08,74.6159,66.0655,23.6271,40.8072,37.3865,47.5936,95.6837,29.5924,41.7381,41.2206,54.4718,88.817,51.7823,225.499,78.7904,90.6422,61.0735,136.2245,49.6164,74.265,127.0765,63.3176,75.58,61.8,11.46,89.8652,72.22,77.275,30.3482,32.085,45.379,287.68,32.095,36.195,44.03,108.47,129.2478,80.1061,34.2059,50.605,41.58,53.17,38.87,100.07,47.8695,19.75,48.0393,233.71,102.74,56.1607,56.733,124.7435,35.63,51.49,74.6679,20.65,9.895,35.7168,66.7875,124.6615,57.51,42.3885,
2013-10-09,74.9209,65.973,23.6689,40.397,37.63,48.138,94.3696,29.7359,41.66,41.0526,54.0315,88.0824,52.6809,223.85,78.9658,91.352,60.6745,133.7885,49.4911,73.435,129.7199,64.0949,75.95,61.55,11.72,90.0681,70.15,77.0554,30.252,32.3789,45.5771,281.56,32.1,36.44,44.02,105.48,129.0158,81.3744,34.083,50.675,42.22,52.7,38.92,100.14,47.6446,19.57,49.3106,233.98,102.34,56.0064,56.8072,125.2925,34.71,52.36,74.7958,21.51,9.6,35.3664,66.8052,124.9047,57.36,42.3885,
2013-10-10,76.5072,68.3761,24.0705,40.585,38.7061,49.2357,97.6017,30.285,42.6936,42.3175,57.5541,90.3743,53.2981,234.17,81.6146,93.2509,62.4322,137.082,50.8474,76.275,129.0699,65.0126,78.002,62.54,11.88,92.5322,70.99,78.9523,31.1471,32.8571,45.2205,294.08,32.88,36.87,42.52,108.674,133.2687,82.5659,34.7927,51.575,42.57,54.51,39.74,99.03,49.2192,19.74,50.7727,240.31,103.87,53.2469,57.8827,127.0495,37.23,53.375,75.2387,21.42,10.04,36.0478,68.5143,126.276,58.12,42.9338,
2013-10-11,77.9627,68.6441,24.0286,40.4141,38.6807,49.889,98.4629,30.3931,42.4591,42.176,57.5082,91.0501,54.0696,234.8,81.8084,94.7719,62.2327,138.0857,51.1865,76.585,130.0599,65.7618,81.0,63.06,11.87,92.4259,70.92,79.4714,31.1856,32.877,46.1219,290.3,33.0,36.99,43.35,108.81,133.6843,83.2673,35.1134,52.085,42.23,54.68,39.91,100.48,49.1922,19.83,50.9815,241.85,104.48,52.7567,58.0866,129.4553,37.05,53.65,76.449,22.15,9.76,36.2717,68.7977,126.0328,57.95,43.4012,
2013-10-14,78.2678,69.06,24.5557,39.9526,39.2569,50.0704,99.0756,30.6091,42.5894,42.1671,58.5907,90.7563,54.1786,238.84,81.8361,94.7258,62.2422,138.0272,51.2676,77.17,133.8932,66.3144,81.2,63.07,12.21,92.4452,73.71,79.122,31.0797,33.1161,45.8941,295.63,33.03,37.455,43.46,107.01,134.0516,84.2186,35.0452,53.09,42.02,55.95,39.48,100.63,49.3812,20.3,50.8817,243.35,104.18,53.2197,58.5131,129.3754,37.34,54.085,76.3014,22.19,9.89,36.2425,69.0191,127.3555,57.55,43.557,
2013-10-15,78.3811,68.2744,24.3968,39.7988,39.0451,49.517,98.9513,30.348,42.3983,41.9194,58.343,89.9531,53.6067,236.47,81.19,93.1587,61.6246,136.9456,50.8769,77.625,130.0699,65.6869,80.23,63.42,12.08,91.6238,73.35,78.0238,30.868,33.0165,45.4681,290.43,32.71,37.515,43.01,108.24,133.3363,82.9983,34.7176,52.59,41.99,55.22,39.19,99.46,49.1112,20.06,50.1007,239.67,103.11,52.557,58.235,127.6385,37.19,54.225,75.7996,22.08,9.58,35.5221,68.2221,127.0443,57.18,43.1286,
