,industry,security1,security2,coint_pval,adfuller_pval
2,Information Technology,FB,KLAC,0.005039074928476142,0.04449446801872693
4,Information Technology,GOOGL,CTXS,0.0010611270391554743,6.200419415688566e-05
6,Information Technology,CSCO,BR,0.008161745849854863,0.0
7,Information Technology,MA,INTU,0.006711406316651083,0.0036198415146202925
8,Information Technology,MA,ANSS,0.003175340443329514,0.01071857539839843
14,Information Technology,ACN,GPN,0.001720096094095216,0.04736037707381017
16,Information Technology,CRM,INTU,0.007978385325729549,0.007918536253647513
18,Information Technology,ADP,MSI,0.003309312110513322,0.007901428050070904
19,Information Technology,ADP,CTXS,0.0038901306575746027,0.01660472119022049
21,Information Technology,ADI,SNPS,0.007309377222303251,0.0
22,Information Technology,FIS,CTXS,0.006137159902579077,0.001334212072373866
33,Consumer Discretionary,F,RCL,0.00839004902389451,0.010584061595950501
35,Consumer Discretionary,F,EXPE,0.0019392712902051514,9.108010050790188e-06
45,Financials,JPM,SCHW,0.0056732356245303515,0.0038277471674407794
47,Financials,GS,LNC,0.0074288024776788236,0.004704087837645007
48,Financials,PNC,SCHW,0.0040376949529822995,0.0007371404748930147
51,Financials,SCHW,NTRS,0.0034085610593963572,0.021877592385079685
58,Financials,NTRS,HBAN,0.0016427879530173915,0.0012514811368936553
59,Financials,RF,CMA,0.00038019615563628995,0.0015049204783745928
69,Health Care,TMO,RMD,0.005924356559128475,0.024523061063972458
70,Health Care,TMO,PKI,0.009962474991053016,0.000563525070987133
71,Health Care,BDX,AET,0.007127041846192876,0.04585813856412039
72,Health Care,AET,HUM,0.008728822847675758,0.0002428532069106622
73,Health Care,AET,IQV,0.0018273261109847871,0.013281727601420601
75,Health Care,HUM,ZTS,0.009964161119847954,0.001403409917483456
76,Health Care,HUM,IQV,0.004954868268961398,0.028601138195636904
77,Health Care,ZTS,RMD,0.001199378362679399,0.006570925107045386
79,Health Care,MCK,MYL,0.003247957205661722,0.0007714839974925192
80,Health Care,LH,WAT,0.003995250161056895,0.026237896114167162
81,Energy,XOM,PXD,0.007925658748035377,0.02990679395259508
82,Energy,NOV,FTI,0.005153195757575692,0.022377384181595367
83,Consumer Staples,PG,HSY,0.0034374743425031563,0.00020335374440927636
86,Industrials,MMM,SWK,0.0002849070879225981,0.014784148333330268
88,Industrials,UTX,ETN,0.004320718123913931,0.007443665315299443
106,Industrials,LMT,WM,0.00372742661916198,0.002027843805562819
107,Industrials,FDX,JBHT,0.006970678744070858,0.0020906112801328727
108,Industrials,EMR,DOV,0.004339878881960849,0.005138161447837362
109,Industrials,WM,HII,0.001740286902797227,0.004692066765741926
111,Industrials,PH,ROK,0.005879541895509016,0.007261926459104009
114,Industrials,VRSK,TDG,0.005067553924304357,0.0004411524310867777
116,Industrials,LLL,XYL,0.0057062830971618675,0.0
120,Utilities,SRE,ETR,0.0046846515146872734,0.007340456039965169
122,Real Estate,AMT,PLD,0.004594634078540545,0.021084729191520192
