,industry,security1,security2,pvalue
0,Information Technology,MSFT,ADP,0.0009901888952103858
1,Information Technology,MSFT,CTXS,0.0058120494954711855
2,Information Technology,FB,KLAC,0.006517218821799187
3,Information Technology,GOOGL,ATVI,0.001756285068337304
4,Information Technology,GOOGL,CTXS,0.000899476635208102
5,Information Technology,V,BR,0.00790966029645329
6,Information Technology,CSCO,BR,0.006820801200666788
7,Information Technology,MA,INTU,0.007507891099267759
8,Information Technology,MA,ANSS,0.009270453399235186
9,Information Technology,NVDA,ADSK,0.007431857516851799
10,Information Technology,ORCL,APH,0.009780414880046827
11,Information Technology,ORCL,GLW,0.0007068799006575399
12,Information Technology,ORCL,LRCX,0.009879553310463612
13,Information Technology,ADBE,INTU,0.009825608020693318
14,Information Technology,ACN,GPN,0.0018678289680476318
15,Information Technology,ACN,TSS,0.007532002764017945
16,Information Technology,CRM,BR,0.007952566048771469
17,Information Technology,ADP,INTU,0.0017995819235826734
18,Information Technology,ADP,MSI,0.004011845198979636
19,Information Technology,ADP,CTXS,0.005481316330265859
20,Information Technology,INTU,BR,0.0028973527209276554
21,Information Technology,ADI,APH,0.008631073707454053
22,Information Technology,ADI,SNPS,0.005537990488220185
23,Information Technology,FIS,CTXS,0.005195573072959194
24,Information Technology,FISV,GPN,0.00020427430185125217
25,Information Technology,ADSK,TTWO,0.005413462124958509
26,Information Technology,APH,SNPS,0.0017884335146983444
27,Information Technology,XLNX,TTWO,0.00812181776372685
28,Consumer Discretionary,CMCSA,CHTR,0.0004020709001648267
29,Consumer Discretionary,CMCSA,HAS,0.004011150337829577
30,Consumer Discretionary,CMCSA,TRIP,0.0005759262758192612
31,Consumer Discretionary,CHTR,TRIP,0.003816892414983386
32,Consumer Discretionary,F,ROST,0.002253773803364229
33,Consumer Discretionary,F,YUM,0.008615210062615695
34,Consumer Discretionary,F,ORLY,0.005691871123290188
35,Consumer Discretionary,F,RCL,0.006446790753809365
36,Consumer Discretionary,F,ULTA,0.0010155518930543967
37,Consumer Discretionary,F,EXPE,0.0012089521830114787
38,Consumer Discretionary,F,GPC,0.005693618368843667
39,Consumer Discretionary,F,DRI,0.0030736830934542025
40,Consumer Discretionary,F,HAS,0.00019653079933478447
41,Consumer Discretionary,F,VIAB,0.004430736890263049
42,Consumer Discretionary,F,IPG,0.001155991161162267
43,Consumer Discretionary,F,LEG,0.006691751529810634
44,Consumer Discretionary,F,TRIP,0.007143672734261696
45,Consumer Discretionary,EXPE,VIAB,0.008591968146757832
46,Consumer Discretionary,LEN,MAT,0.0004202023556391364
47,Consumer Discretionary,MHK,TRIP,0.0028690045307369666
48,Consumer Discretionary,RL,GT,0.0044278235492708
49,Financials,JPM,SCHW,0.007825988484355197
50,Financials,JPM,STI,0.0009874309549409096
51,Financials,GS,LNC,0.00592743735008911
52,Financials,PNC,SCHW,0.0037552862173663186
53,Financials,MS,STT,0.004359066476015814
54,Financials,SCHW,BBT,0.0010111379043831025
55,Financials,SCHW,NTRS,0.003574118140281354
56,Financials,BK,CBOE,0.005267718755579905
57,Financials,MET,LNC,0.004359600660949781
58,Financials,BBT,RJF,0.0006132811972647098
59,Financials,BBT,ZION,0.0024560932105872437
60,Financials,STI,NTRS,0.0028981211410099646
61,Financials,MTB,RJF,0.0020932412547275668
62,Financials,NTRS,HBAN,0.0017734908215844309
63,Financials,RF,CMA,0.00044773028877585417
64,Financials,FITB,ZION,0.0033914488619175595
65,Health Care,UNH,TMO,0.0076875431042012455
66,Health Care,UNH,BDX,0.00015385990915403234
67,Health Care,UNH,SYK,0.0003366412376609143
68,Health Care,PFE,IQV,0.0076611386876658675
69,Health Care,AMGN,HUM,0.0073394786852762515
70,Health Care,TMO,ISRG,0.0008610512683686763
71,Health Care,TMO,BAX,0.00755498120050083
72,Health Care,TMO,RMD,0.006907575142476464
73,Health Care,BDX,AET,0.006196938721640505
74,Health Care,BDX,LH,0.009781862661962237
75,Health Care,AET,HUM,0.00854676651144011
76,Health Care,AET,IQV,0.0007497659313067224
77,Health Care,SYK,LH,0.005568035346617925
78,Health Care,HUM,ZTS,0.0028451091900221497
79,Health Care,HUM,IQV,0.0038947505712871697
80,Health Care,ZTS,RMD,0.0010565729500891074
81,Health Care,ALXN,MCK,0.009579864993562531
82,Health Care,ALXN,PRGO,0.0038086102356702997
83,Health Care,MCK,MYL,0.0037821868117846346
84,Health Care,LH,WAT,0.00446205426989377
85,Energy,XOM,PXD,0.009097581864318919
86,Consumer Staples,PG,HSY,0.0034023306620386113
87,Consumer Staples,MDLZ,CAG,0.005842857336678157
88,Consumer Staples,EL,BF.B,0.004292062823469127
89,Industrials,MMM,SWK,0.0003095353660925562
90,Industrials,UTX,ETN,0.0059512703234672025
91,Industrials,UPS,LMT,1.4984715509983518e-05
92,Industrials,UPS,RTN,7.513752281708176e-05
93,Industrials,UPS,NOC,3.2935702998150675e-05
94,Industrials,UPS,ITW,0.0008998393024410601
95,Industrials,UPS,WM,3.195918016118876e-05
96,Industrials,UPS,IR,0.0024198334773581935
97,Industrials,UPS,COL,0.008315679795201598
98,Industrials,UPS,SWK,0.003311722341851387
99,Industrials,UPS,HRS,0.0037638053243170605
100,Industrials,UPS,CTAS,0.008916577510669722
101,Industrials,UPS,TDG,0.005456167312905564
102,Industrials,UPS,RSG,0.001791236269342729
103,Industrials,UPS,LLL,9.650937064026049e-06
104,Industrials,UPS,XYL,0.004051592431263947
105,Industrials,UPS,EXPD,0.004180885439268151
106,Industrials,UPS,HII,0.00015731106575483516
107,Industrials,UPS,AOS,0.005792695373825515
108,Industrials,UPS,SRCL,0.0021240005179508506
109,Industrials,LMT,WM,0.0074228653000956305
110,Industrials,LMT,SWK,0.006717368170753303
111,Industrials,FDX,JBHT,0.004832078252931762
112,Industrials,NOC,AOS,0.006806065432305464
113,Industrials,EMR,DOV,0.004512966800136442
114,Industrials,ITW,HII,0.009820094327727548
115,Industrials,WM,HII,0.0020538093252335243
116,Industrials,PH,ROK,0.006109352928175642
117,Industrials,CTAS,TDG,0.0018667879984617672
118,Industrials,CTAS,EXPD,0.00013880999602396946
119,Industrials,VRSK,TDG,0.004663883555167445
120,Industrials,TDG,EXPD,0.00417161972593387
121,Industrials,LLL,XYL,0.008052345125606862
122,Materials,DWDP,IFF,0.009457636155732885
123,Materials,EMN,ALB,0.0015947187023521714
124,Utilities,AEP,XEL,0.0020973020452046765
125,Utilities,SRE,ETR,0.005684833869049843
126,Utilities,WEC,AWK,0.001584321760749042
127,Real Estate,AMT,PLD,0.004492790645288318
128,Real Estate,WY,SBAC,0.008390352065413489
129,Real Estate,DLR,DRE,0.005414311799036341
