Name,Identifier,Weight,Sector,Shares Held
Apple Inc.,AAPL,4.490511,Information Technology,54242748
Microsoft Corporation,MSFT,3.420542,Information Technology,84771750
Amazon.com Inc.,AMZN,3.228827,Consumer Discretionary,4443332
Berkshire Hathaway Inc. Class B,BRK.B,1.677491,Financials,21235908
Facebook Inc. Class A,FB,1.596053,Information Technology,26464240
JPMorgan Chase & Co.,JPM,1.590573,Financials,37567596
Johnson & Johnson,JNJ,1.502964,Health Care,29592792
Alphabet Inc. Class C,GOOG,1.456002,Information Technology,3349559
Alphabet Inc. Class A,GOOGL,1.447641,Information Technology,3295022
Exxon Mobil Corporation,XOM,1.394675,Energy,46713068
Bank of America Corp,BAC,1.191109,Financials,104049930
UnitedHealth Group Incorporated,UNH,1.060963,Health Care,10603401
Visa Inc. Class A,V,1.056751,Information Technology,19708344
Wells Fargo & Company,WFC,1.040137,Financials,48387436
Pfizer Inc.,PFE,1.000705,Health Care,64548024
Home Depot Inc.,HD,0.972451,Consumer Discretionary,12728524
AT&T Inc.,T,0.956724,Telecommunication Services,80120930
Verizon Communications Inc.,VZ,0.918382,Telecommunication Services,45587836
Cisco Systems Inc.,CSCO,0.910487,Information Technology,51896940
Intel Corporation,INTC,0.901594,Information Technology,51411780
Chevron Corporation,CVX,0.901499,Energy,21083620
Procter & Gamble Company,PG,0.850907,Consumer Staples,27744998
Mastercard Incorporated Class A,MA,0.798815,Information Technology,10117687
Boeing Company,BA,0.787621,Industrials,6042568
Merck & Co. Inc.,MRK,0.764178,Health Care,29682848
Citigroup Inc.,C,0.731966,Financials,28135628
Coca-Cola Company,KO,0.717652,Consumer Staples,42255012
NVIDIA Corporation,NVDA,0.677717,Information Technology,6696948
Comcast Corporation Class A,CMCSA,0.675374,Consumer Discretionary,50670296
Walt Disney Company,DIS,0.671193,Consumer Discretionary,16404941
DowDuPont Inc.,DWDP,0.665906,Materials,25607316
PepsiCo Inc.,PEP,0.65885,Consumer Staples,15643595
Netflix Inc.,NFLX,0.616554,Consumer Discretionary,4795825
Oracle Corporation,ORCL,0.582161,Information Technology,32883608
AbbVie Inc.,ABBV,0.581827,Health Care,16726860
Walmart Inc.,WMT,0.570726,Consumer Staples,15946715
Medtronic plc,MDT,0.534967,Health Care,14941368
Amgen Inc.,AMGN,0.534775,Health Care,7347304
McDonald's Corporation,MCD,0.526407,Consumer Discretionary,8663871
Adobe Systems Incorporated,ADBE,0.523668,Information Technology,5433075
3M Company,MMM,0.516813,Industrials,6546806
International Business Machines Corporation,IBM,0.51124,Information Technology,9411495
Honeywell International Inc.,HON,0.502868,Industrials,8262832
Philip Morris International Inc.,PM,0.500352,Consumer Staples,17150940
Union Pacific Corporation,UNP,0.491114,Industrials,8558105
Abbott Laboratories,ABT,0.472486,Health Care,19342404
Altria Group Inc,MO,0.471057,Consumer Staples,20882690
Accenture Plc Class A,ACN,0.445772,Information Technology,7093285
General Electric Company,GE,0.444836,Industrials,95827016
Texas Instruments Incorporated,TXN,0.444816,Information Technology,10810189
salesforce.com inc.,CRM,0.429709,Information Technology,7780887
QUALCOMM Incorporated,QCOM,0.427074,Information Technology,16357707
Costco Wholesale Corporation,COST,0.424997,Consumer Staples,4839159
NIKE Inc. Class B,NKE,0.422253,Consumer Discretionary,14153434
Eli Lilly and Company,LLY,0.412074,Health Care,10539093
Bristol-Myers Squibb Company,BMY,0.407801,Health Care,18033966
United Technologies Corporation,UTX,0.40673,Industrials,8209289
PayPal Holdings Inc,PYPL,0.406722,Information Technology,12315520
Gilead Sciences Inc.,GILD,0.389172,Health Care,14390601
Thermo Fisher Scientific Inc.,TMO,0.388244,Health Care,4438488
Booking Holdings Inc.,BKNG,0.376782,Consumer Discretionary,531760
Lowe's Companies Inc.,LOW,0.36813,Consumer Discretionary,9070027
Broadcom Inc.,AVGO,0.354921,Information Technology,4428777
