Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Apple Inc.,AAPL,03783310,2046251,6.718578,Information Technology,43645464.000,USD
Microsoft Corporation,MSFT,59491810,2588173,5.673433,Information Technology,81242050.000,USD
Amazon.com Inc.,AMZN,02313510,2000019,4.747293,Consumer Discretionary,4488240.000,USD
Facebook Inc. Class A,FB,30303M10,B7TL820,2.252184,Communication Services,25758576.000,USD
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.632619,Communication Services,3217043.000,USD
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.593182,Communication Services,3135612.000,USD
Berkshire Hathaway Inc. Class B,BRK.B,08467070,2073390,1.478605,Financials,20845610.000,USD
Johnson & Johnson,JNJ,47816010,2475833,1.398895,Health Care,28247550.000,USD
Procter & Gamble Company,PG,74271810,2704407,1.205605,Consumer Staples,26535448.000,USD
Visa Inc. Class A,V,92826C83,B2PZN04,1.195897,Information Technology,18088736.000,USD
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.119067,Financials,32669376.000,USD
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.093957,Health Care,10168329.000,USD
Home Depot Inc.,HD,43707610,2434209,1.086809,Consumer Discretionary,11531490.000,USD
Mastercard Incorporated Class A,MA,57636Q10,B121557,1.032596,Information Technology,9460568.000,USD
NVIDIA Corporation,NVDA,67066G10,2379504,1.010128,Information Technology,6595290.000,USD
Verizon Communications Inc.,VZ,92343V10,2090571,0.868767,Communication Services,44366624.000,USD
Walt Disney Company,DIS,25468710,2270726,0.848652,Communication Services,19366380.000,USD
PayPal Holdings Inc,PYPL,70450Y10,BYW36M8,0.813299,Information Technology,12589051.000,USD
Adobe Inc.,ADBE,00724F10,2008154,0.776848,Information Technology,5158954.000,USD
AT&T Inc.,T,00206R10,2831811,0.764560,Communication Services,76392776.000,USD
Pfizer Inc.,PFE,71708110,2684703,0.760682,Health Care,59557770.000,USD
Netflix Inc.,NFLX,64110L10,2857817,0.759461,Communication Services,4715415.000,USD
Merck & Co. Inc.,MRK,58933Y10,2778844,0.756279,Health Care,27054828.000,USD
Bank of America Corp,BAC,06050510,2295677,0.738130,Financials,83716250.000,USD
Intel Corporation,INTC,45814010,2463247,0.737630,Information Technology,45395976.000,USD
Comcast Corporation Class A,CMCSA,20030N10,2044545,0.709022,Communication Services,48834570.000,USD
PepsiCo Inc.,PEP,71344810,2681511,0.686711,Consumer Staples,14860645.000,USD
Coca-Cola Company,KO,19121610,2206657,0.670919,Consumer Staples,41443960.000,USD
Walmart Inc.,WMT,93114210,2936921,0.669799,Consumer Staples,15181751.000,USD
Exxon Mobil Corporation,XOM,30231G10,2326618,0.652431,Energy,45333850.000,USD
Cisco Systems Inc.,CSCO,17275R10,2198163,0.649975,Information Technology,45469750.000,USD
Abbott Laboratories,ABT,00282410,2002305,0.641579,Health Care,18965164.000,USD
salesforce.com inc.,CRM,79466L30,2310525,0.630777,Information Technology,9660219.000,USD
Chevron Corporation,CVX,16676410,2838555,0.601621,Energy,20017368.000,USD
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.598631,Health Care,18895488.000,USD
Thermo Fisher Scientific Inc.,TMO,88355610,2886907,0.590296,Health Care,4234553.000,USD
McDonald's Corporation,MCD,58013510,2550707,0.550831,Consumer Discretionary,7972167.000,USD
Costco Wholesale Corporation,COST,22160K10,2701271,0.531760,Consumer Staples,4733930.000,USD
Accenture Plc Class A,ACN,G1151C10,B4BNMY3,0.529602,Information Technology,6830068.000,USD
Bristol-Myers Squibb Company,BMY,11012210,2126335,0.513366,Health Care,24260108.000,USD
Amgen Inc.,AMGN,03116210,2023607,0.507479,Health Care,6307146.000,USD
NextEra Energy Inc.,NEE,65339F10,2328915,0.499399,Utilities,5247776.000,USD
Medtronic Plc,MDT,G5960L10,BTN1Y11,0.487337,Health Care,14378724.000,USD
NIKE Inc. Class B,NKE,65410610,2640147,0.473307,Consumer Discretionary,13279104.000,USD
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.472482,Information Technology,4286403.000,USD
Linde plc,LIN,G5494J10,BZ12WP8,0.469619,Materials,5630999.000,USD
Danaher Corporation,DHR,23585110,2250870,0.467733,Health Care,6746618.000,USD
Union Pacific Corporation,UNP,90781810,2914734,0.461865,Industrials,7275440.000,USD
QUALCOMM Incorporated,QCOM,74752510,2714923,0.457701,Information Technology,12061137.000,USD
Eli Lilly and Company,LLY,53245710,2516152,0.453345,Health Care,9004623.000,USD
Texas Instruments Incorporated,TXN,88250810,2885409,0.451584,Information Technology,9840124.000,USD
Philip Morris International Inc.,PM,71817210,B2PKRQ3,0.436525,Consumer Staples,16695241.000,USD
Lowe's Companies Inc.,LOW,54866110,2536763,0.421737,Consumer Discretionary,8094888.000,USD
Oracle Corporation,ORCL,68389X10,2661568,0.403377,Information Technology,22315880.000,USD
United Parcel Service Inc. Class B,UPS,91131210,2517382,0.402388,Industrials,7549428.000,USD
Honeywell International Inc.,HON,43851610,2020459,0.400306,Industrials,7525003.000,USD
