date,BRK.B,JPM,BAC,WFC,C,USB,GS,AXP,PNC,MS,CB,SCHW,CME,BLK,BK,SPGI,AIG,COF,MET,ICE,MMC,PRU,BBT,PGR,AON,AFL,TRV,ALL,STI,STT,MCO,TROW,DFS,MTB,SYF,NTRS,KEY,RF,AMP,FITB,CFG,WLTW,HBAN,HIG,CMA,SIVB,MSCI,PFG,XL,ETFC,LNC,AJG,L,RJF,CBOE,CINF,NDAQ,ZION,IVZ,BEN,TMK,RE,UNM,AMG,JEF,PBCT,AIZ,BHF
2013-09-26,115.79,45.6592,13.2083,36.1193,46.8879,32.7224,151.7685,70.8963,64.6651,24.897,84.4955,20.4352,60.495,241.7348,27.9788,62.1279,45.3951,62.9098,36.4017,34.9055,39.6713,67.7643,29.4882,23.8793,71.2317,27.8065,76.5703,46.8056,29.2934,61.1252,66.3055,62.1803,46.8017,100.52,,50.1984,10.0391,8.2485,81.1904,16.094,,,7.2941,28.7451,36.0754,84.72,38.6705,37.3993,28.0077,16.8,39.1266,38.1138,45.5079,39.7375,42.1577,40.1943,29.8695,25.9759,27.302,42.944,46.6233,130.4902,27.9748,182.963,25.657,11.6734,49.37,
2013-09-27,114.85,45.9672,13.0395,36.1019,46.8496,32.6866,149.4867,70.4968,64.8347,24.8328,84.1831,20.3011,60.1095,240.2011,27.6586,62.0525,45.1197,62.7278,36.1186,35.1693,39.4819,67.429,29.5142,23.8532,70.9011,27.6731,76.1956,46.5504,29.2575,60.667,65.9213,62.0775,46.638,100.5559,,49.7354,10.0568,8.3563,81.0486,16.094,,,7.2588,28.499,36.0019,85.91,38.2521,37.1413,28.0439,16.76,38.7133,37.8895,45.133,39.4835,42.0835,40.373,29.5302,26.0426,27.1834,42.826,46.5338,130.4364,27.6766,182.0918,25.5914,11.5842,48.786,
2013-09-30,113.51,45.4832,12.9457,35.8675,46.4854,32.7582,147.953,70.1531,64.674,24.7136,83.5048,20.2532,59.3463,239.9086,27.6129,61.7419,44.6423,62.564,35.9197,35.1965,39.2924,67.0592,29.3231,23.7746,70.3061,27.5752,75.6247,46.0764,29.096,60.2455,65.9026,61.632,45.956,100.4123,,49.3722,10.0922,8.3204,80.7383,16.0673,,,7.2853,28.3623,36.1121,86.37,38.2806,36.8232,27.881,16.5,38.5663,37.648,44.9311,39.2106,41.9629,40.1178,29.4476,26.1283,27.0225,42.5985,46.2208,130.4005,27.5139,180.8049,25.5351,11.6653,48.6063,
2013-10-01,114.14,45.7208,13.0395,36.0151,46.5717,32.8747,148.6918,70.534,64.8704,24.8878,83.9154,20.4831,60.0854,239.4387,28.1251,63.0974,45.0738,63.5197,36.287,35.6835,39.3375,67.1538,29.5664,23.8793,69.56,28.2113,75.5265,46.2405,29.437,61.116,66.7553,61.7862,46.5835,100.6815,,49.69,10.2073,8.4462,81.7134,16.2542,,,7.3647,28.5172,36.4612,88.73,38.5374,36.9866,28.0258,16.8,39.1725,38.1914,45.3349,39.427,43.3824,40.2369,29.7044,26.6429,27.2936,42.8513,46.0739,130.8489,27.8664,183.1412,25.6757,11.7951,48.8399,
2013-10-02,114.41,46.1729,13.1896,35.8154,46.6771,32.5881,148.3832,69.4904,64.8793,24.8695,84.0136,20.3969,59.4186,240.4316,27.8599,62.7397,45.184,63.3012,36.0345,35.7184,39.4367,67.3258,29.3839,23.8182,69.5411,28.1179,75.366,46.6598,29.3024,60.4196,66.5304,61.6748,46.1015,99.9727,,48.7367,10.1099,8.3833,81.6957,16.0673,,,7.3603,28.3076,36.103,87.61,38.1,36.9951,28.2791,16.68,38.8602,38.2086,45.2291,38.3449,42.334,40.4495,29.6953,26.0045,27.4122,42.9103,45.9202,133.5303,27.5139,183.9727,25.9945,11.8195,48.6872,
2013-10-03,113.37,46.0399,13.1333,35.5897,46.38,32.5523,146.6812,68.9686,64.6472,24.6219,82.3713,20.2628,59.3865,239.2969,27.366,61.9302,44.8443,62.6004,35.8968,36.4789,39.0037,66.4314,29.019,23.7309,68.6816,27.9844,74.9913,46.3863,29.2486,60.2455,65.6121,61.6748,45.7014,99.6856,,48.2555,10.1364,8.3563,81.1638,16.0183,,,7.3294,28.1071,35.8825,88.64,37.9478,36.6426,27.9263,16.87,38.5388,37.786,44.4216,38.0249,42.6309,40.0327,29.6311,25.8044,27.1411,42.944,45.664,131.8892,27.2517,184.1113,25.6008,11.787,48.6602,
2013-10-04,113.75,46.687,13.1802,35.8502,47.0891,32.7941,146.4006,69.2388,65.1382,24.7503,82.8979,20.6748,60.246,241.1408,27.8965,62.1561,45.4685,64.002,36.4859,37.5692,39.2834,67.4204,29.2536,23.8793,68.7855,28.3492,75.5444,47.7171,29.6076,60.8595,66.4648,62.3003,45.9833,101.2288,,48.6913,10.3046,8.4732,82.3428,16.1919,,,7.4529,28.7724,36.3969,89.86,38.2806,37.3305,28.1796,17.13,39.5858,38.0361,45.2387,38.6178,42.8536,40.5176,30.1721,26.5285,27.4291,43.5423,46.4645,132.4093,27.776,186.606,25.9476,11.9006,49.6395,
2013-10-07,112.86,45.9424,12.955,35.2599,46.1692,32.3552,144.2497,67.9623,64.1652,24.6127,82.532,20.1861,59.756,236.8678,27.6495,62.0055,44.7341,62.6914,35.8968,37.4431,38.7691,66.569,28.7931,23.6087,68.1433,27.9889,75.018,46.9423,28.9793,60.4288,66.2118,61.512,45.174,99.228,,48.2328,10.1364,8.3294,81.4563,15.8225,,,7.2853,28.3987,35.6069,87.82,37.6816,36.548,28.1434,16.76,38.9429,37.786,45.0465,38.1379,42.5103,40.407,29.6035,25.8329,27.0394,42.826,45.9714,132.1403,27.3692,183.4282,25.6383,11.6572,49.4958,
2013-10-08,111.37,45.0915,12.8425,34.93,45.6805,31.9702,143.1275,67.2915,63.3261,24.3468,81.3628,19.7071,58.1896,232.9317,27.0458,61.7043,43.7886,61.7357,35.5372,36.7951,38.4623,65.3479,28.3761,23.2245,67.4161,27.6464,74.0367,46.0217,28.8627,59.2926,65.1904,60.818,44.3193,98.609,,47.5836,10.0037,8.2845,79.648,15.5777,,,7.131,27.9613,35.5058,87.18,36.997,35.8686,27.682,16.19,38.4179,37.8033,44.3832,37.6768,42.167,40.0923,29.1542,25.7091,26.6836,41.7305,45.3502,130.813,26.9263,180.8346,25.4508,11.5761,49.5407,
2013-10-09,111.77,44.9851,12.9832,35.0342,45.9488,32.203,144.4274,67.2915,63.2636,24.5485,81.2289,19.8796,57.8683,236.5221,27.2379,62.1279,43.8161,61.9815,35.4836,36.6845,38.4532,65.3479,28.4629,23.1634,67.2933,27.7042,73.4657,46.4319,28.9614,59.3568,65.5559,61.392,44.4921,99.255,,48.1102,10.0568,8.3384,80.1976,15.8047,,,7.1618,29.2554,35.7814,88.29,36.4265,36.1524,27.6639,16.26,38.2981,37.8895,44.6908,38.2978,42.1392,40.0752,29.3651,25.6233,27.2427,42.1603,45.2542,129.8624,26.6823,181.6661,25.6757,11.6248,50.1157,
